"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-08 00:26:00,3.24 Gb/s,2.27 Gb/s,2.25 Gb/s,3.48 Gb/s,3.01 Gb/s,2.76 Gb/s
2025-05-08 00:26:30,3.00 Gb/s,2.21 Gb/s,2.06 Gb/s,3.61 Gb/s,3.01 Gb/s,2.55 Gb/s
2025-05-08 00:27:00,2.63 Gb/s,2.18 Gb/s,1.91 Gb/s,3.71 Gb/s,3.20 Gb/s,2.35 Gb/s
2025-05-08 00:27:30,2.76 Gb/s,2.24 Gb/s,2.03 Gb/s,4.02 Gb/s,3.67 Gb/s,2.10 Gb/s
2025-05-08 00:28:00,2.22 Gb/s,2.30 Gb/s,2.09 Gb/s,3.85 Gb/s,3.69 Gb/s,2.36 Gb/s
2025-05-08 00:28:30,2.23 Gb/s,2.14 Gb/s,2.23 Gb/s,3.51 Gb/s,3.72 Gb/s,2.73 Gb/s
2025-05-08 00:29:00,1.98 Gb/s,2.03 Gb/s,2.10 Gb/s,2.95 Gb/s,3.41 Gb/s,2.93 Gb/s
2025-05-08 00:29:30,1.92 Gb/s,2.08 Gb/s,2.05 Gb/s,2.71 Gb/s,3.21 Gb/s,3.00 Gb/s
2025-05-08 00:30:00,1.96 Gb/s,1.95 Gb/s,2.14 Gb/s,2.59 Gb/s,2.81 Gb/s,2.72 Gb/s
2025-05-08 00:30:30,2.35 Gb/s,2.01 Gb/s,2.09 Gb/s,2.28 Gb/s,2.82 Gb/s,2.25 Gb/s
2025-05-08 00:31:00,2.54 Gb/s,2.27 Gb/s,2.00 Gb/s,2.30 Gb/s,2.68 Gb/s,1.99 Gb/s
2025-05-08 00:31:30,2.97 Gb/s,2.76 Gb/s,1.61 Gb/s,2.19 Gb/s,2.56 Gb/s,2.26 Gb/s
2025-05-08 00:32:00,3.07 Gb/s,3.30 Gb/s,1.53 Gb/s,2.44 Gb/s,2.78 Gb/s,2.47 Gb/s
2025-05-08 00:32:30,2.97 Gb/s,3.77 Gb/s,1.54 Gb/s,2.78 Gb/s,2.99 Gb/s,2.70 Gb/s
2025-05-08 00:33:00,2.80 Gb/s,3.78 Gb/s,1.55 Gb/s,3.01 Gb/s,3.07 Gb/s,2.84 Gb/s
2025-05-08 00:33:30,2.27 Gb/s,3.56 Gb/s,1.41 Gb/s,3.27 Gb/s,3.06 Gb/s,2.79 Gb/s
2025-05-08 00:34:00,2.19 Gb/s,3.23 Gb/s,1.51 Gb/s,3.32 Gb/s,3.17 Gb/s,2.99 Gb/s
2025-05-08 00:34:30,2.11 Gb/s,2.99 Gb/s,1.97 Gb/s,3.17 Gb/s,3.39 Gb/s,3.04 Gb/s
