"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 14:03:00,4.47 Gb/s,3.49 Gb/s,3.51 Gb/s,3.00 Gb/s
2025-05-02 14:03:30,4.75 Gb/s,3.63 Gb/s,3.63 Gb/s,3.33 Gb/s
2025-05-02 14:04:00,4.74 Gb/s,3.92 Gb/s,3.87 Gb/s,3.39 Gb/s
2025-05-02 14:04:30,4.57 Gb/s,3.89 Gb/s,4.01 Gb/s,3.24 Gb/s
2025-05-02 14:05:00,4.26 Gb/s,3.84 Gb/s,3.96 Gb/s,2.97 Gb/s
2025-05-02 14:05:30,3.88 Gb/s,3.74 Gb/s,3.97 Gb/s,2.81 Gb/s
2025-05-02 14:06:00,4.01 Gb/s,3.75 Gb/s,4.01 Gb/s,2.91 Gb/s
2025-05-02 14:06:30,4.33 Gb/s,4.01 Gb/s,4.03 Gb/s,3.40 Gb/s
2025-05-02 14:07:00,4.42 Gb/s,4.21 Gb/s,4.35 Gb/s,3.44 Gb/s
2025-05-02 14:07:30,4.33 Gb/s,4.26 Gb/s,4.33 Gb/s,3.73 Gb/s
2025-05-02 14:08:00,4.40 Gb/s,4.13 Gb/s,4.34 Gb/s,3.44 Gb/s
2025-05-02 14:08:30,4.34 Gb/s,4.21 Gb/s,4.32 Gb/s,3.59 Gb/s
2025-05-02 14:09:00,4.69 Gb/s,4.21 Gb/s,4.27 Gb/s,3.55 Gb/s
2025-05-02 14:09:30,5.06 Gb/s,4.41 Gb/s,4.29 Gb/s,3.59 Gb/s
2025-05-02 14:10:00,5.17 Gb/s,4.59 Gb/s,4.42 Gb/s,3.88 Gb/s
2025-05-02 14:10:30,5.36 Gb/s,4.53 Gb/s,4.18 Gb/s,3.83 Gb/s
2025-05-02 14:11:00,5.22 Gb/s,4.57 Gb/s,4.43 Gb/s,3.77 Gb/s
2025-05-02 14:11:30,5.20 Gb/s,4.40 Gb/s,4.36 Gb/s,3.74 Gb/s
2025-05-02 14:12:00,5.09 Gb/s,4.40 Gb/s,4.41 Gb/s,3.66 Gb/s
2025-05-02 14:12:30,4.97 Gb/s,4.32 Gb/s,4.56 Gb/s,3.72 Gb/s
2025-05-02 14:13:00,4.93 Gb/s,4.34 Gb/s,4.37 Gb/s,3.55 Gb/s
2025-05-02 14:13:30,4.82 Gb/s,4.61 Gb/s,4.14 Gb/s,3.74 Gb/s
2025-05-02 14:14:00,4.87 Gb/s,4.47 Gb/s,4.31 Gb/s,3.47 Gb/s
2025-05-02 14:14:30,4.65 Gb/s,4.51 Gb/s,4.24 Gb/s,3.50 Gb/s
2025-05-02 14:15:00,4.72 Gb/s,4.49 Gb/s,4.23 Gb/s,3.60 Gb/s
2025-05-02 14:15:30,4.89 Gb/s,4.37 Gb/s,4.36 Gb/s,3.56 Gb/s
2025-05-02 14:16:00,5.10 Gb/s,4.57 Gb/s,4.56 Gb/s,3.81 Gb/s
2025-05-02 14:16:30,5.52 Gb/s,4.64 Gb/s,4.60 Gb/s,3.76 Gb/s
2025-05-02 14:17:00,5.23 Gb/s,4.77 Gb/s,4.84 Gb/s,3.87 Gb/s
2025-05-02 14:17:30,5.17 Gb/s,4.64 Gb/s,4.72 Gb/s,3.66 Gb/s
