"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-08 08:54:30,3.13 Gb/s,2.09 Gb/s,5.25 Gb/s,2.18 Gb/s,5.21 Gb/s,2.13 Gb/s
2025-05-08 08:55:00,3.24 Gb/s,2.29 Gb/s,5.39 Gb/s,2.44 Gb/s,5.27 Gb/s,2.29 Gb/s
2025-05-08 08:55:30,3.05 Gb/s,2.29 Gb/s,5.75 Gb/s,2.35 Gb/s,5.42 Gb/s,2.39 Gb/s
2025-05-08 08:56:00,2.90 Gb/s,2.44 Gb/s,5.62 Gb/s,2.43 Gb/s,4.96 Gb/s,2.53 Gb/s
2025-05-08 08:56:30,2.84 Gb/s,2.38 Gb/s,5.75 Gb/s,2.19 Gb/s,4.92 Gb/s,2.39 Gb/s
2025-05-08 08:57:00,2.80 Gb/s,2.27 Gb/s,5.32 Gb/s,1.96 Gb/s,4.24 Gb/s,2.35 Gb/s
2025-05-08 08:57:30,2.71 Gb/s,2.19 Gb/s,4.86 Gb/s,1.77 Gb/s,4.02 Gb/s,2.21 Gb/s
2025-05-08 08:58:00,2.61 Gb/s,2.18 Gb/s,4.52 Gb/s,1.91 Gb/s,3.71 Gb/s,2.37 Gb/s
2025-05-08 08:58:30,1.98 Gb/s,2.18 Gb/s,3.83 Gb/s,2.19 Gb/s,4.02 Gb/s,2.69 Gb/s
2025-05-08 08:59:00,1.74 Gb/s,2.11 Gb/s,3.53 Gb/s,2.33 Gb/s,4.23 Gb/s,3.01 Gb/s
2025-05-08 08:59:30,1.40 Gb/s,1.99 Gb/s,3.02 Gb/s,2.58 Gb/s,4.39 Gb/s,3.28 Gb/s
2025-05-08 09:00:00,1.21 Gb/s,1.86 Gb/s,2.83 Gb/s,2.52 Gb/s,4.33 Gb/s,3.38 Gb/s
2025-05-08 09:00:30,1.29 Gb/s,1.92 Gb/s,3.11 Gb/s,2.33 Gb/s,4.40 Gb/s,3.42 Gb/s
2025-05-08 09:01:00,1.35 Gb/s,1.71 Gb/s,2.96 Gb/s,2.23 Gb/s,4.29 Gb/s,3.35 Gb/s
2025-05-08 09:01:30,1.54 Gb/s,1.72 Gb/s,3.25 Gb/s,2.18 Gb/s,4.32 Gb/s,3.20 Gb/s
2025-05-08 09:02:00,1.66 Gb/s,1.80 Gb/s,3.48 Gb/s,2.51 Gb/s,4.53 Gb/s,2.89 Gb/s
2025-05-08 09:02:30,1.64 Gb/s,1.69 Gb/s,3.32 Gb/s,2.33 Gb/s,4.64 Gb/s,2.45 Gb/s
2025-05-08 09:03:00,1.55 Gb/s,1.61 Gb/s,3.13 Gb/s,2.23 Gb/s,5.09 Gb/s,2.15 Gb/s
2025-05-08 09:03:30,1.51 Gb/s,1.51 Gb/s,3.03 Gb/s,2.23 Gb/s,5.21 Gb/s,1.74 Gb/s
2025-05-08 09:04:00,1.82 Gb/s,1.70 Gb/s,3.44 Gb/s,1.89 Gb/s,4.98 Gb/s,2.03 Gb/s
2025-05-08 09:04:30,2.11 Gb/s,1.87 Gb/s,3.77 Gb/s,1.87 Gb/s,4.81 Gb/s,2.35 Gb/s
2025-05-08 09:05:00,2.47 Gb/s,1.96 Gb/s,4.18 Gb/s,1.81 Gb/s,4.56 Gb/s,2.69 Gb/s
2025-05-08 09:05:30,2.37 Gb/s,1.73 Gb/s,3.64 Gb/s,1.58 Gb/s,3.91 Gb/s,3.05 Gb/s
2025-05-08 09:06:00,2.03 Gb/s,1.56 Gb/s,3.00 Gb/s,1.58 Gb/s,4.06 Gb/s,3.15 Gb/s
2025-05-08 09:06:30,1.84 Gb/s,1.65 Gb/s,2.60 Gb/s,1.76 Gb/s,3.83 Gb/s,3.20 Gb/s
2025-05-08 09:07:00,1.70 Gb/s,1.82 Gb/s,2.50 Gb/s,2.01 Gb/s,4.01 Gb/s,2.64 Gb/s
2025-05-08 09:07:30,1.78 Gb/s,1.95 Gb/s,3.05 Gb/s,2.05 Gb/s,4.32 Gb/s,2.09 Gb/s
2025-05-08 09:08:00,2.11 Gb/s,2.17 Gb/s,3.31 Gb/s,2.21 Gb/s,4.90 Gb/s,1.91 Gb/s
2025-05-08 09:08:30,1.81 Gb/s,2.25 Gb/s,3.28 Gb/s,2.24 Gb/s,5.06 Gb/s,1.85 Gb/s
2025-05-08 09:09:00,1.94 Gb/s,2.25 Gb/s,3.92 Gb/s,2.39 Gb/s,5.28 Gb/s,2.22 Gb/s
2025-05-08 09:09:30,1.56 Gb/s,2.15 Gb/s,3.60 Gb/s,2.61 Gb/s,5.54 Gb/s,2.55 Gb/s
2025-05-08 09:10:00,1.68 Gb/s,2.17 Gb/s,3.90 Gb/s,2.41 Gb/s,5.48 Gb/s,3.37 Gb/s
2025-05-08 09:10:30,1.83 Gb/s,1.93 Gb/s,4.16 Gb/s,2.11 Gb/s,5.10 Gb/s,3.50 Gb/s
2025-05-08 09:11:00,1.93 Gb/s,2.14 Gb/s,3.93 Gb/s,2.01 Gb/s,5.27 Gb/s,4.08 Gb/s
2025-05-08 09:11:30,1.95 Gb/s,2.23 Gb/s,3.94 Gb/s,2.42 Gb/s,5.12 Gb/s,4.53 Gb/s
2025-05-08 09:12:00,2.28 Gb/s,2.43 Gb/s,4.06 Gb/s,3.33 Gb/s,5.51 Gb/s,4.26 Gb/s
2025-05-08 09:12:30,2.35 Gb/s,2.53 Gb/s,4.54 Gb/s,3.94 Gb/s,5.06 Gb/s,3.71 Gb/s
2025-05-08 09:13:00,2.51 Gb/s,2.45 Gb/s,4.70 Gb/s,3.82 Gb/s,5.00 Gb/s,3.24 Gb/s
2025-05-08 09:13:30,2.23 Gb/s,2.18 Gb/s,4.22 Gb/s,3.26 Gb/s,5.09 Gb/s,2.39 Gb/s
2025-05-08 09:14:00,1.97 Gb/s,2.06 Gb/s,3.84 Gb/s,2.57 Gb/s,4.94 Gb/s,2.24 Gb/s
2025-05-08 09:14:30,1.61 Gb/s,1.90 Gb/s,3.37 Gb/s,2.33 Gb/s,4.90 Gb/s,2.66 Gb/s
2025-05-08 09:15:00,1.57 Gb/s,1.76 Gb/s,3.36 Gb/s,2.47 Gb/s,4.50 Gb/s,2.39 Gb/s
2025-05-08 09:15:30,1.80 Gb/s,1.57 Gb/s,3.48 Gb/s,2.50 Gb/s,4.16 Gb/s,2.22 Gb/s
2025-05-08 09:16:00,1.72 Gb/s,1.47 Gb/s,3.33 Gb/s,2.90 Gb/s,4.38 Gb/s,2.26 Gb/s
2025-05-08 09:16:30,1.67 Gb/s,1.45 Gb/s,3.26 Gb/s,2.87 Gb/s,4.46 Gb/s,1.87 Gb/s
2025-05-08 09:17:00,1.58 Gb/s,1.45 Gb/s,2.84 Gb/s,2.99 Gb/s,4.49 Gb/s,2.35 Gb/s
2025-05-08 09:17:30,1.93 Gb/s,1.75 Gb/s,3.43 Gb/s,3.46 Gb/s,4.29 Gb/s,2.75 Gb/s
2025-05-08 09:18:00,2.31 Gb/s,2.18 Gb/s,3.93 Gb/s,3.45 Gb/s,4.31 Gb/s,2.90 Gb/s
2025-05-08 09:18:30,2.57 Gb/s,2.27 Gb/s,4.44 Gb/s,3.20 Gb/s,4.38 Gb/s,2.94 Gb/s
2025-05-08 09:19:00,2.54 Gb/s,2.24 Gb/s,4.58 Gb/s,3.32 Gb/s,4.31 Gb/s,2.31 Gb/s
2025-05-08 09:19:30,2.32 Gb/s,2.03 Gb/s,4.08 Gb/s,2.73 Gb/s,4.59 Gb/s,1.79 Gb/s
2025-05-08 09:20:00,1.88 Gb/s,1.92 Gb/s,3.85 Gb/s,2.17 Gb/s,4.51 Gb/s,1.80 Gb/s
2025-05-08 09:20:30,1.49 Gb/s,1.81 Gb/s,3.16 Gb/s,1.84 Gb/s,4.84 Gb/s,2.06 Gb/s
2025-05-08 09:21:00,1.26 Gb/s,1.65 Gb/s,3.18 Gb/s,1.46 Gb/s,4.76 Gb/s,2.20 Gb/s
2025-05-08 09:21:30,1.11 Gb/s,1.73 Gb/s,3.11 Gb/s,1.93 Gb/s,4.86 Gb/s,2.44 Gb/s
2025-05-08 09:22:00,1.27 Gb/s,1.77 Gb/s,3.03 Gb/s,2.07 Gb/s,5.08 Gb/s,2.46 Gb/s
2025-05-08 09:22:30,1.55 Gb/s,1.77 Gb/s,3.15 Gb/s,2.22 Gb/s,4.87 Gb/s,2.31 Gb/s
2025-05-08 09:23:00,1.70 Gb/s,1.81 Gb/s,3.20 Gb/s,2.69 Gb/s,5.20 Gb/s,2.50 Gb/s
2025-05-08 09:23:30,1.82 Gb/s,1.85 Gb/s,3.22 Gb/s,2.41 Gb/s,5.16 Gb/s,2.51 Gb/s
2025-05-08 09:24:00,1.86 Gb/s,1.85 Gb/s,3.46 Gb/s,2.36 Gb/s,5.35 Gb/s,2.63 Gb/s
2025-05-08 09:24:30,1.55 Gb/s,1.88 Gb/s,3.27 Gb/s,2.59 Gb/s,5.21 Gb/s,3.02 Gb/s
2025-05-08 09:25:00,1.42 Gb/s,1.86 Gb/s,3.10 Gb/s,2.57 Gb/s,5.12 Gb/s,3.17 Gb/s
2025-05-08 09:25:30,1.41 Gb/s,1.84 Gb/s,2.88 Gb/s,2.85 Gb/s,5.05 Gb/s,2.97 Gb/s
2025-05-08 09:26:00,1.21 Gb/s,1.87 Gb/s,2.72 Gb/s,3.19 Gb/s,4.88 Gb/s,2.97 Gb/s
2025-05-08 09:26:30,1.40 Gb/s,1.80 Gb/s,2.83 Gb/s,3.34 Gb/s,4.81 Gb/s,2.79 Gb/s
2025-05-08 09:27:00,1.27 Gb/s,1.87 Gb/s,2.80 Gb/s,3.59 Gb/s,4.46 Gb/s,2.94 Gb/s
2025-05-08 09:27:30,1.22 Gb/s,1.91 Gb/s,2.89 Gb/s,3.95 Gb/s,4.48 Gb/s,2.82 Gb/s
2025-05-08 09:28:00,1.22 Gb/s,1.89 Gb/s,3.06 Gb/s,3.65 Gb/s,4.03 Gb/s,2.39 Gb/s
2025-05-08 09:28:30,1.22 Gb/s,1.92 Gb/s,2.98 Gb/s,3.62 Gb/s,3.93 Gb/s,2.07 Gb/s
2025-05-08 09:29:00,1.39 Gb/s,1.89 Gb/s,3.15 Gb/s,3.51 Gb/s,3.68 Gb/s,1.83 Gb/s
2025-05-08 09:29:30,1.45 Gb/s,2.07 Gb/s,3.33 Gb/s,3.61 Gb/s,3.82 Gb/s,2.13 Gb/s
2025-05-08 09:30:00,1.45 Gb/s,1.99 Gb/s,3.50 Gb/s,3.51 Gb/s,4.01 Gb/s,2.40 Gb/s
2025-05-08 09:30:30,1.50 Gb/s,1.85 Gb/s,3.43 Gb/s,3.63 Gb/s,3.92 Gb/s,2.44 Gb/s
2025-05-08 09:31:00,1.31 Gb/s,1.68 Gb/s,2.95 Gb/s,3.71 Gb/s,3.61 Gb/s,2.48 Gb/s
2025-05-08 09:31:30,1.25 Gb/s,1.64 Gb/s,2.73 Gb/s,3.56 Gb/s,3.29 Gb/s,2.54 Gb/s
