"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 15:35:30,7.87 Gb/s,7.26 Gb/s,8.12 Gb/s,7.29 Gb/s
2025-05-02 15:36:00,7.82 Gb/s,7.62 Gb/s,8.22 Gb/s,7.99 Gb/s
2025-05-02 15:36:30,8.01 Gb/s,7.84 Gb/s,9.25 Gb/s,8.05 Gb/s
2025-05-02 15:37:00,8.09 Gb/s,7.38 Gb/s,9.83 Gb/s,8.39 Gb/s
2025-05-02 15:37:30,7.87 Gb/s,7.15 Gb/s,10.5 Gb/s,8.86 Gb/s
2025-05-02 15:38:00,7.76 Gb/s,7.06 Gb/s,10.0 Gb/s,8.87 Gb/s
2025-05-02 15:38:30,8.08 Gb/s,7.08 Gb/s,10.8 Gb/s,9.54 Gb/s
2025-05-02 15:39:00,8.04 Gb/s,7.37 Gb/s,11.6 Gb/s,9.79 Gb/s
2025-05-02 15:39:30,8.07 Gb/s,7.51 Gb/s,11.5 Gb/s,9.11 Gb/s
2025-05-02 15:40:00,8.31 Gb/s,7.12 Gb/s,11.2 Gb/s,9.22 Gb/s
2025-05-02 15:40:30,8.75 Gb/s,6.86 Gb/s,10.6 Gb/s,8.67 Gb/s
2025-05-02 15:41:00,9.09 Gb/s,6.74 Gb/s,10.2 Gb/s,8.65 Gb/s
2025-05-02 15:41:30,8.89 Gb/s,6.93 Gb/s,9.27 Gb/s,9.49 Gb/s
2025-05-02 15:42:00,8.62 Gb/s,7.31 Gb/s,8.61 Gb/s,9.27 Gb/s
2025-05-02 15:42:30,7.44 Gb/s,7.83 Gb/s,7.74 Gb/s,8.40 Gb/s
2025-05-02 15:43:00,7.38 Gb/s,7.76 Gb/s,7.60 Gb/s,7.78 Gb/s
2025-05-02 15:43:30,7.08 Gb/s,8.15 Gb/s,7.52 Gb/s,7.05 Gb/s
2025-05-02 15:44:00,7.10 Gb/s,7.82 Gb/s,7.85 Gb/s,7.21 Gb/s
2025-05-02 15:44:30,7.19 Gb/s,7.39 Gb/s,7.16 Gb/s,7.99 Gb/s
