"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 15:35:30,348 Mb/s,168 Mb/s,174 Mb/s,172 Mb/s
2025-05-02 15:36:00,438 Mb/s,279 Mb/s,246 Mb/s,306 Mb/s
2025-05-02 15:36:30,521 Mb/s,374 Mb/s,383 Mb/s,323 Mb/s
2025-05-02 15:37:00,568 Mb/s,388 Mb/s,419 Mb/s,347 Mb/s
2025-05-02 15:37:30,480 Mb/s,373 Mb/s,413 Mb/s,333 Mb/s
2025-05-02 15:38:00,452 Mb/s,368 Mb/s,364 Mb/s,354 Mb/s
2025-05-02 15:38:30,496 Mb/s,349 Mb/s,375 Mb/s,354 Mb/s
2025-05-02 15:39:00,417 Mb/s,426 Mb/s,443 Mb/s,383 Mb/s
2025-05-02 15:39:30,493 Mb/s,403 Mb/s,424 Mb/s,366 Mb/s
2025-05-02 15:40:00,526 Mb/s,442 Mb/s,407 Mb/s,449 Mb/s
2025-05-02 15:40:30,452 Mb/s,517 Mb/s,434 Mb/s,400 Mb/s
2025-05-02 15:41:00,582 Mb/s,465 Mb/s,379 Mb/s,367 Mb/s
2025-05-02 15:41:30,549 Mb/s,534 Mb/s,398 Mb/s,365 Mb/s
2025-05-02 15:42:00,486 Mb/s,456 Mb/s,424 Mb/s,375 Mb/s
2025-05-02 15:42:30,517 Mb/s,447 Mb/s,383 Mb/s,461 Mb/s
2025-05-02 15:43:00,547 Mb/s,448 Mb/s,450 Mb/s,349 Mb/s
2025-05-02 15:43:30,588 Mb/s,450 Mb/s,348 Mb/s,486 Mb/s
2025-05-02 15:44:00,522 Mb/s,445 Mb/s,379 Mb/s,364 Mb/s
2025-05-02 15:44:30,532 Mb/s,396 Mb/s,384 Mb/s,374 Mb/s
2025-05-02 15:45:00,605 Mb/s,357 Mb/s,377 Mb/s,354 Mb/s
2025-05-02 15:45:30,472 Mb/s,487 Mb/s,405 Mb/s,383 Mb/s
2025-05-02 15:46:00,610 Mb/s,402 Mb/s,413 Mb/s,355 Mb/s
2025-05-02 15:46:30,539 Mb/s,384 Mb/s,402 Mb/s,348 Mb/s
2025-05-02 15:47:00,486 Mb/s,467 Mb/s,422 Mb/s,372 Mb/s
2025-05-02 15:47:30,589 Mb/s,394 Mb/s,409 Mb/s,355 Mb/s
2025-05-02 15:48:00,550 Mb/s,390 Mb/s,415 Mb/s,361 Mb/s
2025-05-02 15:48:30,484 Mb/s,391 Mb/s,352 Mb/s,360 Mb/s
2025-05-02 15:49:00,553 Mb/s,369 Mb/s,349 Mb/s,356 Mb/s
2025-05-02 15:49:30,476 Mb/s,429 Mb/s,367 Mb/s,354 Mb/s
2025-05-02 15:50:00,476 Mb/s,488 Mb/s,382 Mb/s,382 Mb/s
2025-05-02 15:50:30,568 Mb/s,459 Mb/s,377 Mb/s,378 Mb/s
2025-05-02 15:51:00,555 Mb/s,425 Mb/s,377 Mb/s,361 Mb/s
2025-05-02 15:51:30,494 Mb/s,390 Mb/s,373 Mb/s,349 Mb/s
2025-05-02 15:52:00,384 Mb/s,368 Mb/s,368 Mb/s,345 Mb/s
2025-05-02 15:52:30,438 Mb/s,322 Mb/s,365 Mb/s,280 Mb/s
2025-05-02 15:53:00,460 Mb/s,322 Mb/s,487 Mb/s,340 Mb/s
2025-05-02 15:53:30,427 Mb/s,339 Mb/s,372 Mb/s,379 Mb/s
2025-05-02 15:54:00,495 Mb/s,349 Mb/s,416 Mb/s,349 Mb/s
2025-05-02 15:54:30,494 Mb/s,389 Mb/s,391 Mb/s,350 Mb/s
2025-05-02 15:55:00,486 Mb/s,353 Mb/s,327 Mb/s,432 Mb/s
2025-05-02 15:55:30,538 Mb/s,335 Mb/s,357 Mb/s,452 Mb/s
2025-05-02 15:56:00,432 Mb/s,419 Mb/s,364 Mb/s,385 Mb/s
2025-05-02 15:56:30,535 Mb/s,349 Mb/s,278 Mb/s,433 Mb/s
2025-05-02 15:57:00,470 Mb/s,397 Mb/s,319 Mb/s,356 Mb/s
2025-05-02 15:57:30,492 Mb/s,444 Mb/s,416 Mb/s,348 Mb/s
2025-05-02 15:58:00,517 Mb/s,384 Mb/s,395 Mb/s,439 Mb/s
2025-05-02 15:58:30,461 Mb/s,396 Mb/s,465 Mb/s,451 Mb/s
2025-05-02 15:59:00,369 Mb/s,358 Mb/s,423 Mb/s,361 Mb/s
2025-05-02 15:59:30,355 Mb/s,312 Mb/s,317 Mb/s,429 Mb/s
2025-05-02 16:00:00,330 Mb/s,277 Mb/s,338 Mb/s,313 Mb/s
2025-05-02 16:00:30,274 Mb/s,297 Mb/s,333 Mb/s,266 Mb/s
2025-05-02 16:01:00,343 Mb/s,279 Mb/s,269 Mb/s,278 Mb/s
2025-05-02 16:01:30,347 Mb/s,301 Mb/s,370 Mb/s,256 Mb/s
2025-05-02 16:02:00,382 Mb/s,281 Mb/s,338 Mb/s,313 Mb/s
2025-05-02 16:02:30,413 Mb/s,317 Mb/s,404 Mb/s,317 Mb/s
2025-05-02 16:03:00,446 Mb/s,334 Mb/s,331 Mb/s,346 Mb/s
2025-05-02 16:03:30,513 Mb/s,326 Mb/s,269 Mb/s,328 Mb/s
2025-05-02 16:04:00,438 Mb/s,409 Mb/s,238 Mb/s,360 Mb/s
2025-05-02 16:04:30,463 Mb/s,384 Mb/s,271 Mb/s,348 Mb/s
2025-05-02 16:05:00,451 Mb/s,467 Mb/s,297 Mb/s,441 Mb/s
2025-05-02 16:05:30,451 Mb/s,453 Mb/s,353 Mb/s,348 Mb/s
2025-05-02 16:06:00,507 Mb/s,421 Mb/s,345 Mb/s,379 Mb/s
2025-05-02 16:06:30,409 Mb/s,456 Mb/s,315 Mb/s,320 Mb/s
2025-05-02 16:07:00,488 Mb/s,418 Mb/s,253 Mb/s,317 Mb/s
