"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 22:15:30,488 Mb/s,487 Mb/s,1.12 Gb/s,688 Mb/s,470 Mb/s,454 Mb/s
2025-05-07 22:16:00,410 Mb/s,487 Mb/s,1.11 Gb/s,716 Mb/s,488 Mb/s,589 Mb/s
2025-05-07 22:16:30,510 Mb/s,482 Mb/s,1.15 Gb/s,869 Mb/s,454 Mb/s,711 Mb/s
2025-05-07 22:17:00,518 Mb/s,580 Mb/s,1.08 Gb/s,1.09 Gb/s,388 Mb/s,842 Mb/s
2025-05-07 22:17:30,573 Mb/s,598 Mb/s,1.14 Gb/s,1.08 Gb/s,380 Mb/s,844 Mb/s
2025-05-07 22:18:00,672 Mb/s,640 Mb/s,1.18 Gb/s,983 Mb/s,417 Mb/s,810 Mb/s
2025-05-07 22:18:30,817 Mb/s,722 Mb/s,1.36 Gb/s,1.06 Gb/s,427 Mb/s,828 Mb/s
2025-05-07 22:19:00,764 Mb/s,662 Mb/s,1.44 Gb/s,1.09 Gb/s,417 Mb/s,804 Mb/s
2025-05-07 22:19:30,727 Mb/s,636 Mb/s,1.31 Gb/s,1.18 Gb/s,444 Mb/s,770 Mb/s
2025-05-07 22:20:00,660 Mb/s,557 Mb/s,1.21 Gb/s,1.15 Gb/s,461 Mb/s,784 Mb/s
2025-05-07 22:20:30,551 Mb/s,450 Mb/s,1.12 Gb/s,1.15 Gb/s,467 Mb/s,766 Mb/s
2025-05-07 22:21:00,591 Mb/s,382 Mb/s,1.05 Gb/s,1.08 Gb/s,574 Mb/s,613 Mb/s
2025-05-07 22:21:30,612 Mb/s,381 Mb/s,833 Mb/s,891 Mb/s,532 Mb/s,453 Mb/s
2025-05-07 22:22:00,487 Mb/s,481 Mb/s,1.06 Gb/s,660 Mb/s,579 Mb/s,396 Mb/s
2025-05-07 22:22:30,371 Mb/s,569 Mb/s,1.22 Gb/s,616 Mb/s,765 Mb/s,370 Mb/s
2025-05-07 22:23:00,243 Mb/s,603 Mb/s,1.32 Gb/s,486 Mb/s,834 Mb/s,348 Mb/s
2025-05-07 22:23:30,97.2 Mb/s,522 Mb/s,1.15 Gb/s,300 Mb/s,711 Mb/s,349 Mb/s
2025-05-07 22:24:00,35.0 Mb/s,426 Mb/s,823 Mb/s,161 Mb/s,575 Mb/s,244 Mb/s
2025-05-07 22:24:30,494 kb/s,313 Mb/s,556 Mb/s,106 Mb/s,375 Mb/s,210 Mb/s
2025-05-07 22:25:00,141 Mb/s,263 Mb/s,376 Mb/s,69.8 Mb/s,140 Mb/s,105 Mb/s
2025-05-07 22:25:30,339 Mb/s,283 Mb/s,453 Mb/s,174 Mb/s,75.1 Mb/s,70.3 Mb/s
2025-05-07 22:26:00,418 Mb/s,278 Mb/s,487 Mb/s,208 Mb/s,35.8 Mb/s,35.2 Mb/s
