"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 22:15:30,3.53 Gb/s,2.87 Gb/s,2.07 Gb/s,2.53 Gb/s,1.32 Gb/s,2.04 Gb/s
2025-05-07 22:16:00,3.97 Gb/s,3.26 Gb/s,2.46 Gb/s,3.10 Gb/s,2.13 Gb/s,2.36 Gb/s
2025-05-07 22:16:30,3.85 Gb/s,3.44 Gb/s,3.84 Gb/s,3.08 Gb/s,2.37 Gb/s,2.96 Gb/s
2025-05-07 22:17:00,3.57 Gb/s,4.02 Gb/s,4.44 Gb/s,2.67 Gb/s,3.13 Gb/s,3.09 Gb/s
2025-05-07 22:17:30,4.03 Gb/s,4.40 Gb/s,5.18 Gb/s,2.49 Gb/s,3.83 Gb/s,3.25 Gb/s
2025-05-07 22:18:00,4.59 Gb/s,5.76 Gb/s,5.42 Gb/s,2.72 Gb/s,4.47 Gb/s,3.99 Gb/s
2025-05-07 22:18:30,5.09 Gb/s,6.66 Gb/s,4.95 Gb/s,3.73 Gb/s,4.77 Gb/s,4.25 Gb/s
2025-05-07 22:19:00,5.62 Gb/s,6.71 Gb/s,4.58 Gb/s,4.71 Gb/s,5.15 Gb/s,4.27 Gb/s
2025-05-07 22:19:30,5.92 Gb/s,6.59 Gb/s,3.95 Gb/s,5.16 Gb/s,4.73 Gb/s,3.82 Gb/s
2025-05-07 22:20:00,5.85 Gb/s,7.08 Gb/s,3.69 Gb/s,5.04 Gb/s,3.85 Gb/s,3.30 Gb/s
2025-05-07 22:20:30,6.31 Gb/s,6.65 Gb/s,3.98 Gb/s,4.83 Gb/s,3.54 Gb/s,3.72 Gb/s
2025-05-07 22:21:00,6.29 Gb/s,6.01 Gb/s,3.92 Gb/s,4.82 Gb/s,3.46 Gb/s,3.94 Gb/s
2025-05-07 22:21:30,5.71 Gb/s,5.81 Gb/s,3.94 Gb/s,5.66 Gb/s,4.07 Gb/s,5.05 Gb/s
2025-05-07 22:22:00,5.46 Gb/s,4.64 Gb/s,4.94 Gb/s,5.64 Gb/s,4.40 Gb/s,5.12 Gb/s
2025-05-07 22:22:30,5.77 Gb/s,4.37 Gb/s,5.65 Gb/s,5.05 Gb/s,3.85 Gb/s,4.96 Gb/s
2025-05-07 22:23:00,5.42 Gb/s,3.18 Gb/s,6.84 Gb/s,4.33 Gb/s,3.02 Gb/s,4.41 Gb/s
2025-05-07 22:23:30,4.20 Gb/s,1.78 Gb/s,5.71 Gb/s,2.89 Gb/s,1.62 Gb/s,3.69 Gb/s
2025-05-07 22:24:00,2.87 Gb/s,1.22 Gb/s,3.85 Gb/s,2.47 Gb/s,632 Mb/s,3.08 Gb/s
2025-05-07 22:24:30,1.45 Gb/s,514 Mb/s,1.90 Gb/s,2.19 Gb/s,680 Mb/s,2.51 Gb/s
2025-05-07 22:25:00,1.31 Gb/s,289 Mb/s,1.13 Gb/s,2.43 Gb/s,1.25 Gb/s,2.57 Gb/s
2025-05-07 22:25:30,1.44 Gb/s,257 Mb/s,1.46 Gb/s,2.85 Gb/s,2.55 Gb/s,2.90 Gb/s
2025-05-07 22:26:00,1.53 Gb/s,739 Mb/s,1.45 Gb/s,2.42 Gb/s,2.73 Gb/s,2.68 Gb/s
2025-05-07 22:26:30,1.98 Gb/s,1.08 Gb/s,1.08 Gb/s,1.80 Gb/s,2.50 Gb/s,2.90 Gb/s
2025-05-07 22:27:00,2.49 Gb/s,1.99 Gb/s,611 Mb/s,1.22 Gb/s,2.03 Gb/s,2.42 Gb/s
2025-05-07 22:27:30,4.26 Gb/s,3.24 Gb/s,643 Mb/s,1.25 Gb/s,1.83 Gb/s,2.54 Gb/s
2025-05-07 22:28:00,5.84 Gb/s,3.92 Gb/s,1.17 Gb/s,2.12 Gb/s,2.76 Gb/s,2.28 Gb/s
2025-05-07 22:28:30,6.43 Gb/s,4.09 Gb/s,1.97 Gb/s,2.86 Gb/s,3.36 Gb/s,1.89 Gb/s
2025-05-07 22:29:00,6.13 Gb/s,4.49 Gb/s,2.76 Gb/s,2.96 Gb/s,3.97 Gb/s,2.01 Gb/s
2025-05-07 22:29:30,6.07 Gb/s,4.31 Gb/s,3.26 Gb/s,2.70 Gb/s,3.94 Gb/s,1.93 Gb/s
2025-05-07 22:30:00,5.39 Gb/s,5.31 Gb/s,3.12 Gb/s,2.81 Gb/s,3.50 Gb/s,3.29 Gb/s
