"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 15:35:30,259 Mb/s,209 Mb/s,177 Mb/s,176 Mb/s
2025-05-02 15:36:00,383 Mb/s,343 Mb/s,382 Mb/s,209 Mb/s
2025-05-02 15:36:30,446 Mb/s,348 Mb/s,462 Mb/s,348 Mb/s
2025-05-02 15:37:00,453 Mb/s,487 Mb/s,426 Mb/s,351 Mb/s
2025-05-02 15:37:30,470 Mb/s,483 Mb/s,371 Mb/s,358 Mb/s
2025-05-02 15:38:00,395 Mb/s,417 Mb/s,362 Mb/s,348 Mb/s
2025-05-02 15:38:30,386 Mb/s,505 Mb/s,382 Mb/s,323 Mb/s
2025-05-02 15:39:00,454 Mb/s,417 Mb/s,428 Mb/s,419 Mb/s
2025-05-02 15:39:30,418 Mb/s,484 Mb/s,383 Mb/s,364 Mb/s
2025-05-02 15:40:00,519 Mb/s,542 Mb/s,485 Mb/s,408 Mb/s
2025-05-02 15:40:30,570 Mb/s,446 Mb/s,386 Mb/s,360 Mb/s
2025-05-02 15:41:00,510 Mb/s,494 Mb/s,383 Mb/s,382 Mb/s
2025-05-02 15:41:30,545 Mb/s,486 Mb/s,399 Mb/s,427 Mb/s
2025-05-02 15:42:00,504 Mb/s,426 Mb/s,407 Mb/s,376 Mb/s
2025-05-02 15:42:30,487 Mb/s,494 Mb/s,457 Mb/s,357 Mb/s
2025-05-02 15:43:00,473 Mb/s,477 Mb/s,383 Mb/s,446 Mb/s
2025-05-02 15:43:30,511 Mb/s,463 Mb/s,468 Mb/s,383 Mb/s
2025-05-02 15:44:00,482 Mb/s,459 Mb/s,350 Mb/s,385 Mb/s
2025-05-02 15:44:30,450 Mb/s,486 Mb/s,379 Mb/s,382 Mb/s
2025-05-02 15:45:00,464 Mb/s,518 Mb/s,431 Mb/s,382 Mb/s
2025-05-02 15:45:30,545 Mb/s,434 Mb/s,383 Mb/s,377 Mb/s
2025-05-02 15:46:00,443 Mb/s,520 Mb/s,390 Mb/s,378 Mb/s
2025-05-02 15:46:30,493 Mb/s,517 Mb/s,417 Mb/s,378 Mb/s
2025-05-02 15:47:00,557 Mb/s,438 Mb/s,419 Mb/s,361 Mb/s
2025-05-02 15:47:30,454 Mb/s,418 Mb/s,439 Mb/s,339 Mb/s
2025-05-02 15:48:00,490 Mb/s,485 Mb/s,383 Mb/s,381 Mb/s
2025-05-02 15:48:30,421 Mb/s,423 Mb/s,383 Mb/s,331 Mb/s
2025-05-02 15:49:00,396 Mb/s,481 Mb/s,383 Mb/s,348 Mb/s
2025-05-02 15:49:30,457 Mb/s,482 Mb/s,348 Mb/s,373 Mb/s
2025-05-02 15:50:00,557 Mb/s,495 Mb/s,371 Mb/s,358 Mb/s
2025-05-02 15:50:30,536 Mb/s,514 Mb/s,382 Mb/s,373 Mb/s
2025-05-02 15:51:00,487 Mb/s,486 Mb/s,382 Mb/s,382 Mb/s
2025-05-02 15:51:30,463 Mb/s,452 Mb/s,317 Mb/s,347 Mb/s
2025-05-02 15:52:00,416 Mb/s,417 Mb/s,348 Mb/s,335 Mb/s
2025-05-02 15:52:30,294 Mb/s,373 Mb/s,343 Mb/s,324 Mb/s
2025-05-02 15:53:00,374 Mb/s,410 Mb/s,389 Mb/s,414 Mb/s
2025-05-02 15:53:30,321 Mb/s,417 Mb/s,422 Mb/s,360 Mb/s
2025-05-02 15:54:00,348 Mb/s,445 Mb/s,394 Mb/s,422 Mb/s
2025-05-02 15:54:30,352 Mb/s,460 Mb/s,361 Mb/s,420 Mb/s
2025-05-02 15:55:00,279 Mb/s,471 Mb/s,405 Mb/s,384 Mb/s
2025-05-02 15:55:30,274 Mb/s,460 Mb/s,469 Mb/s,464 Mb/s
2025-05-02 15:56:00,329 Mb/s,426 Mb/s,357 Mb/s,420 Mb/s
2025-05-02 15:56:30,279 Mb/s,457 Mb/s,409 Mb/s,348 Mb/s
2025-05-02 15:57:00,393 Mb/s,444 Mb/s,408 Mb/s,365 Mb/s
2025-05-02 15:57:30,390 Mb/s,421 Mb/s,376 Mb/s,422 Mb/s
2025-05-02 15:58:00,374 Mb/s,428 Mb/s,441 Mb/s,371 Mb/s
2025-05-02 15:58:30,447 Mb/s,420 Mb/s,487 Mb/s,437 Mb/s
2025-05-02 15:59:00,384 Mb/s,332 Mb/s,338 Mb/s,392 Mb/s
2025-05-02 15:59:30,275 Mb/s,303 Mb/s,414 Mb/s,348 Mb/s
2025-05-02 16:00:00,310 Mb/s,248 Mb/s,378 Mb/s,309 Mb/s
2025-05-02 16:00:30,264 Mb/s,283 Mb/s,319 Mb/s,348 Mb/s
2025-05-02 16:01:00,279 Mb/s,243 Mb/s,362 Mb/s,253 Mb/s
2025-05-02 16:01:30,343 Mb/s,278 Mb/s,338 Mb/s,346 Mb/s
2025-05-02 16:02:00,330 Mb/s,312 Mb/s,382 Mb/s,262 Mb/s
2025-05-02 16:02:30,417 Mb/s,348 Mb/s,392 Mb/s,367 Mb/s
2025-05-02 16:03:00,383 Mb/s,374 Mb/s,376 Mb/s,336 Mb/s
2025-05-02 16:03:30,385 Mb/s,430 Mb/s,332 Mb/s,300 Mb/s
2025-05-02 16:04:00,376 Mb/s,400 Mb/s,355 Mb/s,327 Mb/s
2025-05-02 16:04:30,384 Mb/s,417 Mb/s,376 Mb/s,298 Mb/s
2025-05-02 16:05:00,448 Mb/s,425 Mb/s,458 Mb/s,313 Mb/s
2025-05-02 16:05:30,419 Mb/s,417 Mb/s,411 Mb/s,353 Mb/s
2025-05-02 16:06:00,464 Mb/s,512 Mb/s,401 Mb/s,364 Mb/s
2025-05-02 16:06:30,407 Mb/s,382 Mb/s,348 Mb/s,333 Mb/s
2025-05-02 16:07:00,350 Mb/s,419 Mb/s,366 Mb/s,301 Mb/s
2025-05-02 16:07:30,401 Mb/s,385 Mb/s,382 Mb/s,328 Mb/s
2025-05-02 16:08:00,349 Mb/s,401 Mb/s,362 Mb/s,317 Mb/s
2025-05-02 16:08:30,355 Mb/s,462 Mb/s,351 Mb/s,313 Mb/s
2025-05-02 16:09:00,352 Mb/s,416 Mb/s,338 Mb/s,322 Mb/s
2025-05-02 16:09:30,322 Mb/s,398 Mb/s,359 Mb/s,278 Mb/s
2025-05-02 16:10:00,386 Mb/s,417 Mb/s,389 Mb/s,318 Mb/s
2025-05-02 16:10:30,376 Mb/s,405 Mb/s,348 Mb/s,289 Mb/s
2025-05-02 16:11:00,424 Mb/s,452 Mb/s,419 Mb/s,302 Mb/s
2025-05-02 16:11:30,438 Mb/s,389 Mb/s,347 Mb/s,351 Mb/s
2025-05-02 16:12:00,444 Mb/s,349 Mb/s,416 Mb/s,320 Mb/s
2025-05-02 16:12:30,474 Mb/s,370 Mb/s,390 Mb/s,332 Mb/s
2025-05-02 16:13:00,456 Mb/s,362 Mb/s,383 Mb/s,313 Mb/s
2025-05-02 16:13:30,399 Mb/s,416 Mb/s,397 Mb/s,357 Mb/s
2025-05-02 16:14:00,459 Mb/s,388 Mb/s,378 Mb/s,348 Mb/s
2025-05-02 16:14:30,349 Mb/s,382 Mb/s,395 Mb/s,347 Mb/s
2025-05-02 16:15:00,386 Mb/s,460 Mb/s,405 Mb/s,359 Mb/s
2025-05-02 16:15:30,374 Mb/s,383 Mb/s,464 Mb/s,313 Mb/s
2025-05-02 16:16:00,349 Mb/s,436 Mb/s,403 Mb/s,331 Mb/s
2025-05-02 16:16:30,436 Mb/s,388 Mb/s,404 Mb/s,313 Mb/s
2025-05-02 16:17:00,349 Mb/s,394 Mb/s,386 Mb/s,354 Mb/s
2025-05-02 16:17:30,399 Mb/s,462 Mb/s,383 Mb/s,324 Mb/s
2025-05-02 16:18:00,385 Mb/s,418 Mb/s,344 Mb/s,381 Mb/s
2025-05-02 16:18:30,418 Mb/s,384 Mb/s,382 Mb/s,309 Mb/s
2025-05-02 16:19:00,413 Mb/s,383 Mb/s,388 Mb/s,348 Mb/s
2025-05-02 16:19:30,342 Mb/s,315 Mb/s,382 Mb/s,313 Mb/s
2025-05-02 16:20:00,345 Mb/s,426 Mb/s,399 Mb/s,348 Mb/s
2025-05-02 16:20:30,433 Mb/s,353 Mb/s,452 Mb/s,348 Mb/s
2025-05-02 16:21:00,400 Mb/s,430 Mb/s,349 Mb/s,348 Mb/s
2025-05-02 16:21:30,501 Mb/s,472 Mb/s,441 Mb/s,377 Mb/s
2025-05-02 16:22:00,458 Mb/s,403 Mb/s,383 Mb/s,313 Mb/s
2025-05-02 16:22:30,418 Mb/s,418 Mb/s,451 Mb/s,333 Mb/s
2025-05-02 16:23:00,488 Mb/s,436 Mb/s,379 Mb/s,307 Mb/s
2025-05-02 16:23:30,385 Mb/s,417 Mb/s,426 Mb/s,313 Mb/s
2025-05-02 16:24:00,467 Mb/s,486 Mb/s,412 Mb/s,343 Mb/s
2025-05-02 16:24:30,450 Mb/s,392 Mb/s,384 Mb/s,348 Mb/s
2025-05-02 16:25:00,448 Mb/s,433 Mb/s,408 Mb/s,365 Mb/s
2025-05-02 16:25:30,504 Mb/s,447 Mb/s,382 Mb/s,348 Mb/s
2025-05-02 16:26:00,407 Mb/s,417 Mb/s,348 Mb/s,379 Mb/s
2025-05-02 16:26:30,508 Mb/s,380 Mb/s,414 Mb/s,355 Mb/s
2025-05-02 16:27:00,470 Mb/s,422 Mb/s,417 Mb/s,350 Mb/s
