"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 22:15:30,557 Mb/s,487 Mb/s,1.04 Gb/s,592 Mb/s,464 Mb/s,566 Mb/s
2025-05-07 22:16:00,526 Mb/s,488 Mb/s,964 Mb/s,735 Mb/s,483 Mb/s,550 Mb/s
2025-05-07 22:16:30,473 Mb/s,521 Mb/s,1000 Mb/s,885 Mb/s,507 Mb/s,661 Mb/s
2025-05-07 22:17:00,453 Mb/s,592 Mb/s,964 Mb/s,1.05 Gb/s,522 Mb/s,835 Mb/s
2025-05-07 22:17:30,587 Mb/s,609 Mb/s,1.08 Gb/s,1.08 Gb/s,414 Mb/s,835 Mb/s
2025-05-07 22:18:00,626 Mb/s,650 Mb/s,1.25 Gb/s,1.09 Gb/s,382 Mb/s,809 Mb/s
2025-05-07 22:18:30,730 Mb/s,694 Mb/s,1.43 Gb/s,1.11 Gb/s,423 Mb/s,778 Mb/s
2025-05-07 22:19:00,815 Mb/s,659 Mb/s,1.29 Gb/s,1.09 Gb/s,477 Mb/s,771 Mb/s
2025-05-07 22:19:30,772 Mb/s,659 Mb/s,1.21 Gb/s,1.11 Gb/s,494 Mb/s,841 Mb/s
2025-05-07 22:20:00,711 Mb/s,589 Mb/s,993 Mb/s,1.21 Gb/s,556 Mb/s,781 Mb/s
2025-05-07 22:20:30,596 Mb/s,486 Mb/s,863 Mb/s,1.11 Gb/s,591 Mb/s,733 Mb/s
2025-05-07 22:21:00,569 Mb/s,526 Mb/s,1.04 Gb/s,964 Mb/s,591 Mb/s,660 Mb/s
2025-05-07 22:21:30,521 Mb/s,493 Mb/s,1.01 Gb/s,765 Mb/s,487 Mb/s,575 Mb/s
2025-05-07 22:22:00,486 Mb/s,486 Mb/s,1.09 Gb/s,621 Mb/s,612 Mb/s,422 Mb/s
2025-05-07 22:22:30,348 Mb/s,574 Mb/s,1.26 Gb/s,488 Mb/s,695 Mb/s,417 Mb/s
2025-05-07 22:23:00,237 Mb/s,660 Mb/s,1.39 Gb/s,404 Mb/s,765 Mb/s,417 Mb/s
2025-05-07 22:23:30,69.5 Mb/s,499 Mb/s,1.16 Gb/s,313 Mb/s,695 Mb/s,334 Mb/s
2025-05-07 22:24:00,65.7 Mb/s,383 Mb/s,873 Mb/s,209 Mb/s,523 Mb/s,230 Mb/s
2025-05-07 22:24:30,69.5 Mb/s,244 Mb/s,596 Mb/s,105 Mb/s,346 Mb/s,153 Mb/s
2025-05-07 22:25:00,174 Mb/s,209 Mb/s,385 Mb/s,84.4 Mb/s,139 Mb/s,95.6 Mb/s
2025-05-07 22:25:30,348 Mb/s,278 Mb/s,541 Mb/s,150 Mb/s,69.9 Mb/s,69.6 Mb/s
2025-05-07 22:26:00,452 Mb/s,244 Mb/s,523 Mb/s,174 Mb/s,34.9 Mb/s,35.0 Mb/s
2025-05-07 22:26:30,417 Mb/s,174 Mb/s,416 Mb/s,174 Mb/s,139 Mb/s,139 Mb/s
2025-05-07 22:27:00,227 Mb/s,69.7 Mb/s,210 Mb/s,69.8 Mb/s,240 Mb/s,243 Mb/s
2025-05-07 22:27:30,104 Mb/s,69.7 Mb/s,71.0 Mb/s,158 Mb/s,278 Mb/s,348 Mb/s
2025-05-07 22:28:00,174 Mb/s,208 Mb/s,219 Mb/s,522 Mb/s,243 Mb/s,439 Mb/s
2025-05-07 22:28:30,427 Mb/s,332 Mb/s,478 Mb/s,904 Mb/s,243 Mb/s,544 Mb/s
2025-05-07 22:29:00,590 Mb/s,487 Mb/s,662 Mb/s,1.11 Gb/s,209 Mb/s,627 Mb/s
2025-05-07 22:29:30,660 Mb/s,508 Mb/s,801 Mb/s,886 Mb/s,174 Mb/s,602 Mb/s
2025-05-07 22:30:00,556 Mb/s,487 Mb/s,669 Mb/s,858 Mb/s,139 Mb/s,626 Mb/s
2025-05-07 22:30:30,462 Mb/s,494 Mb/s,718 Mb/s,746 Mb/s,159 Mb/s,625 Mb/s
2025-05-07 22:31:00,557 Mb/s,608 Mb/s,1.07 Gb/s,973 Mb/s,244 Mb/s,730 Mb/s
2025-05-07 22:31:30,730 Mb/s,782 Mb/s,1.43 Gb/s,1.08 Gb/s,279 Mb/s,730 Mb/s
2025-05-07 22:32:00,881 Mb/s,913 Mb/s,1.83 Gb/s,1.11 Gb/s,357 Mb/s,692 Mb/s
2025-05-07 22:32:30,1.05 Gb/s,949 Mb/s,2.00 Gb/s,1.03 Gb/s,382 Mb/s,697 Mb/s
2025-05-07 22:33:00,1.11 Gb/s,931 Mb/s,2.00 Gb/s,1.11 Gb/s,438 Mb/s,588 Mb/s
2025-05-07 22:33:30,1.05 Gb/s,938 Mb/s,1.91 Gb/s,1.11 Gb/s,556 Mb/s,695 Mb/s
2025-05-07 22:34:00,938 Mb/s,938 Mb/s,1.89 Gb/s,1.05 Gb/s,660 Mb/s,730 Mb/s
2025-05-07 22:34:30,776 Mb/s,855 Mb/s,1.73 Gb/s,1.01 Gb/s,758 Mb/s,714 Mb/s
2025-05-07 22:35:00,489 Mb/s,745 Mb/s,1.41 Gb/s,969 Mb/s,736 Mb/s,823 Mb/s
2025-05-07 22:35:30,358 Mb/s,637 Mb/s,1.15 Gb/s,835 Mb/s,637 Mb/s,874 Mb/s
2025-05-07 22:36:00,289 Mb/s,426 Mb/s,792 Mb/s,705 Mb/s,452 Mb/s,731 Mb/s
2025-05-07 22:36:30,207 Mb/s,361 Mb/s,653 Mb/s,510 Mb/s,418 Mb/s,522 Mb/s
2025-05-07 22:37:00,178 Mb/s,313 Mb/s,789 Mb/s,278 Mb/s,469 Mb/s,243 Mb/s
2025-05-07 22:37:30,139 Mb/s,278 Mb/s,835 Mb/s,30.6 Mb/s,538 Mb/s,105 Mb/s
2025-05-07 22:38:00,139 Mb/s,243 Mb/s,835 Mb/s,90.4 kb/s,587 Mb/s,105 Mb/s
2025-05-07 22:38:30,104 Mb/s,208 Mb/s,758 Mb/s,9.14 Mb/s,626 Mb/s,209 Mb/s
2025-05-07 22:39:00,208 Mb/s,208 Mb/s,558 Mb/s,209 Mb/s,460 Mb/s,279 Mb/s
2025-05-07 22:39:30,307 Mb/s,317 Mb/s,558 Mb/s,567 Mb/s,487 Mb/s,404 Mb/s
2025-05-07 22:40:00,347 Mb/s,451 Mb/s,715 Mb/s,765 Mb/s,390 Mb/s,579 Mb/s
2025-05-07 22:40:30,417 Mb/s,379 Mb/s,687 Mb/s,763 Mb/s,313 Mb/s,564 Mb/s
2025-05-07 22:41:00,382 Mb/s,418 Mb/s,730 Mb/s,783 Mb/s,244 Mb/s,523 Mb/s
2025-05-07 22:41:30,319 Mb/s,347 Mb/s,592 Mb/s,733 Mb/s,139 Mb/s,487 Mb/s
2025-05-07 22:42:00,313 Mb/s,347 Mb/s,279 Mb/s,835 Mb/s,34.9 Mb/s,591 Mb/s
2025-05-07 22:42:30,265 Mb/s,382 Mb/s,234 Mb/s,974 Mb/s,69.6 Mb/s,660 Mb/s
2025-05-07 22:43:00,174 Mb/s,284 Mb/s,105 Mb/s,963 Mb/s,104 Mb/s,591 Mb/s
2025-05-07 22:43:30,174 Mb/s,308 Mb/s,163 Mb/s,761 Mb/s,106 Mb/s,616 Mb/s
2025-05-07 22:44:00,278 Mb/s,409 Mb/s,344 Mb/s,592 Mb/s,214 Mb/s,605 Mb/s
2025-05-07 22:44:30,298 Mb/s,413 Mb/s,535 Mb/s,592 Mb/s,348 Mb/s,626 Mb/s
2025-05-07 22:45:00,514 Mb/s,460 Mb/s,904 Mb/s,541 Mb/s,487 Mb/s,591 Mb/s
2025-05-07 22:45:30,556 Mb/s,428 Mb/s,869 Mb/s,592 Mb/s,521 Mb/s,604 Mb/s
2025-05-07 22:46:00,522 Mb/s,417 Mb/s,939 Mb/s,457 Mb/s,417 Mb/s,488 Mb/s
2025-05-07 22:46:30,491 Mb/s,382 Mb/s,766 Mb/s,649 Mb/s,303 Mb/s,415 Mb/s
2025-05-07 22:47:00,366 Mb/s,382 Mb/s,627 Mb/s,620 Mb/s,208 Mb/s,429 Mb/s
2025-05-07 22:47:30,460 Mb/s,429 Mb/s,606 Mb/s,696 Mb/s,309 Mb/s,437 Mb/s
2025-05-07 22:48:00,440 Mb/s,555 Mb/s,754 Mb/s,947 Mb/s,347 Mb/s,522 Mb/s
2025-05-07 22:48:30,427 Mb/s,556 Mb/s,811 Mb/s,892 Mb/s,331 Mb/s,556 Mb/s
2025-05-07 22:49:00,502 Mb/s,676 Mb/s,1.15 Gb/s,977 Mb/s,356 Mb/s,679 Mb/s
2025-05-07 22:49:30,653 Mb/s,802 Mb/s,1.57 Gb/s,1.06 Gb/s,350 Mb/s,626 Mb/s
2025-05-07 22:50:00,834 Mb/s,810 Mb/s,1.63 Gb/s,975 Mb/s,312 Mb/s,522 Mb/s
2025-05-07 22:50:30,868 Mb/s,841 Mb/s,1.84 Gb/s,905 Mb/s,326 Mb/s,586 Mb/s
