"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 22:15:30,3.47 Gb/s,2.86 Gb/s,2.15 Gb/s,2.62 Gb/s,1.32 Gb/s,1.94 Gb/s
2025-05-07 22:16:00,3.86 Gb/s,3.25 Gb/s,2.59 Gb/s,3.09 Gb/s,2.13 Gb/s,2.39 Gb/s
2025-05-07 22:16:30,3.88 Gb/s,3.39 Gb/s,3.98 Gb/s,3.06 Gb/s,2.32 Gb/s,3.02 Gb/s
2025-05-07 22:17:00,3.63 Gb/s,4.01 Gb/s,4.55 Gb/s,2.71 Gb/s,3.01 Gb/s,3.09 Gb/s
2025-05-07 22:17:30,4.01 Gb/s,4.39 Gb/s,5.24 Gb/s,2.49 Gb/s,3.80 Gb/s,3.26 Gb/s
2025-05-07 22:18:00,4.63 Gb/s,5.75 Gb/s,5.35 Gb/s,2.62 Gb/s,4.50 Gb/s,3.99 Gb/s
2025-05-07 22:18:30,5.17 Gb/s,6.69 Gb/s,4.89 Gb/s,3.67 Gb/s,4.77 Gb/s,4.30 Gb/s
2025-05-07 22:19:00,5.57 Gb/s,6.72 Gb/s,4.71 Gb/s,4.69 Gb/s,5.10 Gb/s,4.29 Gb/s
2025-05-07 22:19:30,5.88 Gb/s,6.57 Gb/s,4.04 Gb/s,5.21 Gb/s,4.68 Gb/s,3.75 Gb/s
2025-05-07 22:20:00,5.80 Gb/s,7.05 Gb/s,3.89 Gb/s,4.98 Gb/s,3.76 Gb/s,3.29 Gb/s
2025-05-07 22:20:30,6.27 Gb/s,6.62 Gb/s,4.22 Gb/s,4.86 Gb/s,3.43 Gb/s,3.74 Gb/s
2025-05-07 22:21:00,6.31 Gb/s,5.88 Gb/s,3.93 Gb/s,4.93 Gb/s,3.44 Gb/s,3.90 Gb/s
2025-05-07 22:21:30,5.79 Gb/s,5.71 Gb/s,3.78 Gb/s,5.78 Gb/s,4.12 Gb/s,4.94 Gb/s
2025-05-07 22:22:00,5.46 Gb/s,4.63 Gb/s,4.92 Gb/s,5.68 Gb/s,4.37 Gb/s,5.09 Gb/s
2025-05-07 22:22:30,5.79 Gb/s,4.37 Gb/s,5.61 Gb/s,5.17 Gb/s,3.91 Gb/s,4.91 Gb/s
2025-05-07 22:23:00,5.43 Gb/s,3.13 Gb/s,6.78 Gb/s,4.41 Gb/s,3.08 Gb/s,4.35 Gb/s
2025-05-07 22:23:30,4.23 Gb/s,1.80 Gb/s,5.70 Gb/s,2.88 Gb/s,1.63 Gb/s,3.70 Gb/s
2025-05-07 22:24:00,2.84 Gb/s,1.26 Gb/s,3.81 Gb/s,2.43 Gb/s,681 Mb/s,3.10 Gb/s
2025-05-07 22:24:30,1.39 Gb/s,578 Mb/s,1.87 Gb/s,2.19 Gb/s,706 Mb/s,2.56 Gb/s
2025-05-07 22:25:00,1.28 Gb/s,339 Mb/s,1.12 Gb/s,2.42 Gb/s,1.25 Gb/s,2.58 Gb/s
2025-05-07 22:25:30,1.43 Gb/s,261 Mb/s,1.38 Gb/s,2.88 Gb/s,2.55 Gb/s,2.90 Gb/s
2025-05-07 22:26:00,1.50 Gb/s,771 Mb/s,1.41 Gb/s,2.45 Gb/s,2.73 Gb/s,2.68 Gb/s
2025-05-07 22:26:30,1.95 Gb/s,1.08 Gb/s,1.02 Gb/s,1.81 Gb/s,2.48 Gb/s,2.90 Gb/s
2025-05-07 22:27:00,2.48 Gb/s,2.01 Gb/s,650 Mb/s,1.32 Gb/s,1.97 Gb/s,2.36 Gb/s
2025-05-07 22:27:30,4.18 Gb/s,3.25 Gb/s,707 Mb/s,1.32 Gb/s,1.77 Gb/s,2.50 Gb/s
2025-05-07 22:28:00,5.82 Gb/s,3.92 Gb/s,1.23 Gb/s,2.12 Gb/s,2.71 Gb/s,2.26 Gb/s
2025-05-07 22:28:30,6.38 Gb/s,4.14 Gb/s,2.14 Gb/s,2.82 Gb/s,3.30 Gb/s,1.86 Gb/s
2025-05-07 22:29:00,6.03 Gb/s,4.48 Gb/s,2.88 Gb/s,2.96 Gb/s,3.93 Gb/s,2.00 Gb/s
2025-05-07 22:29:30,6.00 Gb/s,4.28 Gb/s,3.32 Gb/s,2.88 Gb/s,3.94 Gb/s,1.83 Gb/s
2025-05-07 22:30:00,5.36 Gb/s,5.30 Gb/s,3.21 Gb/s,2.98 Gb/s,3.47 Gb/s,3.17 Gb/s
2025-05-07 22:30:30,5.51 Gb/s,5.85 Gb/s,3.38 Gb/s,2.91 Gb/s,3.75 Gb/s,4.36 Gb/s
2025-05-07 22:31:00,5.34 Gb/s,4.87 Gb/s,3.79 Gb/s,3.18 Gb/s,3.79 Gb/s,5.40 Gb/s
2025-05-07 22:31:30,4.53 Gb/s,4.53 Gb/s,4.92 Gb/s,3.07 Gb/s,3.96 Gb/s,4.63 Gb/s
2025-05-07 22:32:00,4.52 Gb/s,4.87 Gb/s,5.72 Gb/s,4.30 Gb/s,3.30 Gb/s,3.53 Gb/s
2025-05-07 22:32:30,4.19 Gb/s,5.92 Gb/s,5.49 Gb/s,5.86 Gb/s,2.61 Gb/s,2.43 Gb/s
2025-05-07 22:33:00,4.62 Gb/s,7.10 Gb/s,5.29 Gb/s,7.17 Gb/s,2.40 Gb/s,2.21 Gb/s
2025-05-07 22:33:30,4.14 Gb/s,7.29 Gb/s,5.65 Gb/s,7.12 Gb/s,2.15 Gb/s,2.95 Gb/s
2025-05-07 22:34:00,3.18 Gb/s,6.48 Gb/s,6.60 Gb/s,6.25 Gb/s,2.09 Gb/s,2.79 Gb/s
2025-05-07 22:34:30,2.35 Gb/s,4.88 Gb/s,7.52 Gb/s,5.06 Gb/s,1.41 Gb/s,2.72 Gb/s
2025-05-07 22:35:00,2.37 Gb/s,3.30 Gb/s,7.06 Gb/s,4.61 Gb/s,670 Mb/s,2.57 Gb/s
2025-05-07 22:35:30,2.11 Gb/s,2.00 Gb/s,5.34 Gb/s,4.16 Gb/s,612 Mb/s,3.24 Gb/s
2025-05-07 22:36:00,2.11 Gb/s,1.38 Gb/s,4.38 Gb/s,3.81 Gb/s,612 Mb/s,3.29 Gb/s
2025-05-07 22:36:30,2.03 Gb/s,1.43 Gb/s,3.83 Gb/s,3.43 Gb/s,1.22 Gb/s,3.11 Gb/s
2025-05-07 22:37:00,1.74 Gb/s,1.80 Gb/s,3.61 Gb/s,2.74 Gb/s,1.43 Gb/s,3.16 Gb/s
2025-05-07 22:37:30,1.90 Gb/s,2.62 Gb/s,3.04 Gb/s,1.86 Gb/s,1.48 Gb/s,2.76 Gb/s
2025-05-07 22:38:00,1.55 Gb/s,3.96 Gb/s,2.59 Gb/s,1.54 Gb/s,1.35 Gb/s,2.80 Gb/s
2025-05-07 22:38:30,1.94 Gb/s,4.96 Gb/s,1.74 Gb/s,1.71 Gb/s,1.09 Gb/s,2.67 Gb/s
2025-05-07 22:39:00,2.60 Gb/s,5.42 Gb/s,1.63 Gb/s,2.41 Gb/s,1.49 Gb/s,2.12 Gb/s
2025-05-07 22:39:30,2.65 Gb/s,4.91 Gb/s,2.49 Gb/s,3.30 Gb/s,2.06 Gb/s,2.31 Gb/s
2025-05-07 22:40:00,3.19 Gb/s,4.73 Gb/s,2.88 Gb/s,4.05 Gb/s,2.69 Gb/s,2.97 Gb/s
2025-05-07 22:40:30,3.21 Gb/s,4.31 Gb/s,3.45 Gb/s,4.15 Gb/s,3.14 Gb/s,3.60 Gb/s
2025-05-07 22:41:00,3.46 Gb/s,4.60 Gb/s,4.06 Gb/s,3.98 Gb/s,3.13 Gb/s,3.90 Gb/s
2025-05-07 22:41:30,4.24 Gb/s,5.10 Gb/s,3.57 Gb/s,3.91 Gb/s,2.94 Gb/s,3.99 Gb/s
2025-05-07 22:42:00,4.26 Gb/s,5.09 Gb/s,3.55 Gb/s,3.37 Gb/s,2.98 Gb/s,3.53 Gb/s
2025-05-07 22:42:30,4.26 Gb/s,5.00 Gb/s,4.02 Gb/s,2.99 Gb/s,3.35 Gb/s,3.33 Gb/s
2025-05-07 22:43:00,4.02 Gb/s,4.95 Gb/s,4.21 Gb/s,3.43 Gb/s,4.03 Gb/s,3.65 Gb/s
2025-05-07 22:43:30,4.12 Gb/s,4.53 Gb/s,4.70 Gb/s,3.61 Gb/s,4.25 Gb/s,4.44 Gb/s
2025-05-07 22:44:00,4.12 Gb/s,4.94 Gb/s,4.88 Gb/s,3.96 Gb/s,3.43 Gb/s,4.75 Gb/s
2025-05-07 22:44:30,4.74 Gb/s,5.11 Gb/s,4.82 Gb/s,4.30 Gb/s,2.56 Gb/s,5.15 Gb/s
2025-05-07 22:45:00,5.39 Gb/s,4.59 Gb/s,5.10 Gb/s,3.97 Gb/s,1.95 Gb/s,4.16 Gb/s
2025-05-07 22:45:30,6.57 Gb/s,3.58 Gb/s,5.35 Gb/s,3.72 Gb/s,2.34 Gb/s,3.47 Gb/s
2025-05-07 22:46:00,6.98 Gb/s,2.15 Gb/s,4.08 Gb/s,3.18 Gb/s,3.02 Gb/s,2.89 Gb/s
2025-05-07 22:46:30,5.95 Gb/s,1.48 Gb/s,3.89 Gb/s,2.67 Gb/s,3.23 Gb/s,2.97 Gb/s
2025-05-07 22:47:00,4.59 Gb/s,1.15 Gb/s,3.23 Gb/s,2.61 Gb/s,2.57 Gb/s,3.31 Gb/s
2025-05-07 22:47:30,2.74 Gb/s,1.33 Gb/s,3.12 Gb/s,2.53 Gb/s,1.99 Gb/s,3.41 Gb/s
2025-05-07 22:48:00,1.90 Gb/s,2.32 Gb/s,2.74 Gb/s,2.62 Gb/s,1.30 Gb/s,3.17 Gb/s
2025-05-07 22:48:30,2.48 Gb/s,3.58 Gb/s,1.92 Gb/s,3.14 Gb/s,577 Mb/s,2.96 Gb/s
2025-05-07 22:49:00,2.58 Gb/s,4.55 Gb/s,1.47 Gb/s,3.40 Gb/s,475 Mb/s,2.19 Gb/s
