"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 18:42:30,149 Mb/s,386 Mb/s,458 kb/s,117 Mb/s
2025-05-02 18:43:00,140 Mb/s,441 Mb/s,493 kb/s,216 Mb/s
2025-05-02 18:43:30,210 Mb/s,480 Mb/s,386 kb/s,243 Mb/s
2025-05-02 18:44:00,141 Mb/s,455 Mb/s,384 kb/s,241 Mb/s
2025-05-02 18:44:30,140 Mb/s,418 Mb/s,308 kb/s,228 Mb/s
2025-05-02 18:45:00,140 Mb/s,402 Mb/s,339 kb/s,223 Mb/s
2025-05-02 18:45:30,140 Mb/s,430 Mb/s,305 kb/s,253 Mb/s
2025-05-02 18:46:00,205 Mb/s,504 Mb/s,351 kb/s,225 Mb/s
2025-05-02 18:46:30,140 Mb/s,446 Mb/s,297 kb/s,280 Mb/s
2025-05-02 18:47:00,140 Mb/s,466 Mb/s,337 kb/s,254 Mb/s
2025-05-02 18:47:30,140 Mb/s,452 Mb/s,277 kb/s,281 Mb/s
2025-05-02 18:48:00,140 Mb/s,426 Mb/s,319 kb/s,254 Mb/s
2025-05-02 18:48:30,209 Mb/s,431 Mb/s,284 kb/s,247 Mb/s
2025-05-02 18:49:00,140 Mb/s,457 Mb/s,325 kb/s,270 Mb/s
2025-05-02 18:49:30,160 Mb/s,437 Mb/s,304 kb/s,262 Mb/s
2025-05-02 18:50:00,140 Mb/s,439 Mb/s,353 kb/s,312 Mb/s
2025-05-02 18:50:30,140 Mb/s,462 Mb/s,346 kb/s,277 Mb/s
2025-05-02 18:51:00,209 Mb/s,466 Mb/s,439 kb/s,255 Mb/s
2025-05-02 18:51:30,140 Mb/s,459 Mb/s,432 kb/s,278 Mb/s
2025-05-02 18:52:00,140 Mb/s,515 Mb/s,516 kb/s,249 Mb/s
2025-05-02 18:52:30,140 Mb/s,425 Mb/s,474 kb/s,312 Mb/s
2025-05-02 18:53:00,140 Mb/s,440 Mb/s,466 kb/s,290 Mb/s
2025-05-02 18:53:30,210 Mb/s,493 Mb/s,409 kb/s,255 Mb/s
2025-05-02 18:54:00,140 Mb/s,471 Mb/s,410 kb/s,292 Mb/s
2025-05-02 18:54:30,140 Mb/s,484 Mb/s,397 kb/s,242 Mb/s
2025-05-02 18:55:00,154 Mb/s,426 Mb/s,457 kb/s,253 Mb/s
2025-05-02 18:55:30,140 Mb/s,442 Mb/s,456 kb/s,261 Mb/s
2025-05-02 18:56:00,195 Mb/s,435 Mb/s,495 kb/s,260 Mb/s
2025-05-02 18:56:30,140 Mb/s,467 Mb/s,442 kb/s,304 Mb/s
2025-05-02 18:57:00,140 Mb/s,531 Mb/s,474 kb/s,244 Mb/s
2025-05-02 18:57:30,209 Mb/s,418 Mb/s,419 kb/s,243 Mb/s
2025-05-02 18:58:00,140 Mb/s,454 Mb/s,445 kb/s,233 Mb/s
2025-05-02 18:58:30,184 Mb/s,418 Mb/s,374 kb/s,231 Mb/s
2025-05-02 18:59:00,140 Mb/s,445 Mb/s,390 kb/s,247 Mb/s
2025-05-02 18:59:30,140 Mb/s,437 Mb/s,338 kb/s,263 Mb/s
2025-05-02 19:00:00,200 Mb/s,418 Mb/s,386 kb/s,236 Mb/s
2025-05-02 19:00:30,140 Mb/s,449 Mb/s,355 kb/s,247 Mb/s
2025-05-02 19:01:00,148 Mb/s,418 Mb/s,390 kb/s,242 Mb/s
2025-05-02 19:01:30,140 Mb/s,444 Mb/s,333 kb/s,241 Mb/s
2025-05-02 19:02:00,140 Mb/s,428 Mb/s,345 kb/s,305 Mb/s
2025-05-02 19:02:30,207 Mb/s,458 Mb/s,297 kb/s,270 Mb/s
2025-05-02 19:03:00,140 Mb/s,472 Mb/s,328 kb/s,273 Mb/s
2025-05-02 19:03:30,74.6 Mb/s,417 Mb/s,308 kb/s,266 Mb/s
2025-05-02 19:04:00,105 Mb/s,473 Mb/s,348 kb/s,214 Mb/s
2025-05-02 19:04:30,70.5 Mb/s,383 Mb/s,315 kb/s,255 Mb/s
