"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 21:32:00,742 kb/s,210 Mb/s,279 Mb/s,696 kb/s,1.47 Mb/s,806 kb/s
2025-05-07 21:32:30,1.00 Mb/s,344 Mb/s,244 Mb/s,730 kb/s,1.56 Mb/s,842 kb/s
2025-05-07 21:33:00,245 Mb/s,488 Mb/s,140 Mb/s,555 kb/s,1.44 Mb/s,669 kb/s
2025-05-07 21:33:30,349 Mb/s,629 Mb/s,105 Mb/s,369 kb/s,1.25 Mb/s,483 kb/s
2025-05-07 21:34:00,394 Mb/s,686 Mb/s,105 Mb/s,146 kb/s,1.02 Mb/s,260 kb/s
2025-05-07 21:34:30,453 Mb/s,620 Mb/s,105 Mb/s,23.5 kb/s,878 kb/s,135 kb/s
2025-05-07 21:35:00,451 Mb/s,635 Mb/s,113 Mb/s,17.8 kb/s,860 kb/s,135 kb/s
2025-05-07 21:35:30,487 Mb/s,660 Mb/s,113 Mb/s,16.4 kb/s,858 kb/s,133 kb/s
2025-05-07 21:36:00,487 Mb/s,754 Mb/s,194 Mb/s,14.9 kb/s,858 kb/s,134 kb/s
2025-05-07 21:36:30,661 Mb/s,1.08 Gb/s,348 Mb/s,15.5 kb/s,858 kb/s,133 kb/s
2025-05-07 21:37:00,684 Mb/s,1.21 Gb/s,452 Mb/s,17.3 kb/s,856 kb/s,119 kb/s
2025-05-07 21:37:30,800 Mb/s,1.39 Gb/s,627 Mb/s,14.4 kb/s,849 kb/s,106 kb/s
2025-05-07 21:38:00,686 Mb/s,1.19 Gb/s,522 Mb/s,14.5 kb/s,844 kb/s,94.6 kb/s
2025-05-07 21:38:30,786 Mb/s,1.12 Gb/s,348 Mb/s,23.0 kb/s,857 kb/s,91.4 kb/s
2025-05-07 21:39:00,592 Mb/s,788 Mb/s,244 Mb/s,32.8 kb/s,875 kb/s,108 kb/s
2025-05-07 21:39:30,557 Mb/s,679 Mb/s,105 Mb/s,54.7 kb/s,912 kb/s,127 kb/s
2025-05-07 21:40:00,452 Mb/s,564 Mb/s,123 Mb/s,111 kb/s,1.02 Mb/s,181 kb/s
2025-05-07 21:40:30,279 Mb/s,439 Mb/s,139 Mb/s,182 kb/s,1.16 Mb/s,253 kb/s
2025-05-07 21:41:00,343 Mb/s,527 Mb/s,105 Mb/s,242 kb/s,1.27 Mb/s,315 kb/s
2025-05-07 21:41:30,314 Mb/s,525 Mb/s,105 Mb/s,265 kb/s,1.30 Mb/s,336 kb/s
2025-05-07 21:42:00,279 Mb/s,505 Mb/s,104 Mb/s,265 kb/s,1.30 Mb/s,327 kb/s
2025-05-07 21:42:30,244 Mb/s,436 Mb/s,104 Mb/s,246 kb/s,1.25 Mb/s,318 kb/s
2025-05-07 21:43:00,344 Mb/s,522 Mb/s,69.7 Mb/s,220 kb/s,1.18 Mb/s,284 kb/s
2025-05-07 21:43:30,314 Mb/s,424 Mb/s,35.0 Mb/s,201 kb/s,1.15 Mb/s,267 kb/s
2025-05-07 21:44:00,460 Mb/s,528 Mb/s,187 kb/s,179 kb/s,1.11 Mb/s,245 kb/s
2025-05-07 21:44:30,592 Mb/s,636 Mb/s,136 kb/s,149 kb/s,1.04 Mb/s,216 kb/s
2025-05-07 21:45:00,592 Mb/s,532 Mb/s,133 kb/s,115 kb/s,988 kb/s,183 kb/s
2025-05-07 21:45:30,454 Mb/s,358 Mb/s,158 kb/s,99.1 kb/s,956 kb/s,176 kb/s
2025-05-07 21:46:00,384 Mb/s,289 Mb/s,158 kb/s,85.1 kb/s,931 kb/s,156 kb/s
2025-05-07 21:46:30,150 Mb/s,63.4 Mb/s,34.8 Mb/s,68.1 kb/s,912 kb/s,141 kb/s
