"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 18:42:30,13.7 Gb/s,14.1 Gb/s,814 kb/s,1.68 Gb/s
2025-05-02 18:43:00,13.8 Gb/s,14.8 Gb/s,828 kb/s,3.48 Gb/s
2025-05-02 18:43:30,13.6 Gb/s,14.1 Gb/s,797 kb/s,5.28 Gb/s
2025-05-02 18:44:00,12.6 Gb/s,14.3 Gb/s,801 kb/s,7.06 Gb/s
2025-05-02 18:44:30,12.5 Gb/s,14.0 Gb/s,820 kb/s,8.14 Gb/s
2025-05-02 18:45:00,12.7 Gb/s,14.4 Gb/s,881 kb/s,8.50 Gb/s
2025-05-02 18:45:30,13.1 Gb/s,14.1 Gb/s,914 kb/s,8.92 Gb/s
2025-05-02 18:46:00,13.2 Gb/s,13.7 Gb/s,943 kb/s,8.71 Gb/s
2025-05-02 18:46:30,12.9 Gb/s,13.6 Gb/s,871 kb/s,8.57 Gb/s
2025-05-02 18:47:00,13.3 Gb/s,12.9 Gb/s,871 kb/s,8.08 Gb/s
2025-05-02 18:47:30,13.3 Gb/s,12.5 Gb/s,771 kb/s,7.69 Gb/s
2025-05-02 18:48:00,13.5 Gb/s,12.1 Gb/s,770 kb/s,7.90 Gb/s
2025-05-02 18:48:30,14.2 Gb/s,12.0 Gb/s,765 kb/s,8.38 Gb/s
2025-05-02 18:49:00,14.0 Gb/s,12.9 Gb/s,772 kb/s,8.50 Gb/s
2025-05-02 18:49:30,13.8 Gb/s,13.1 Gb/s,760 kb/s,8.72 Gb/s
2025-05-02 18:50:00,13.9 Gb/s,13.6 Gb/s,762 kb/s,8.02 Gb/s
2025-05-02 18:50:30,12.7 Gb/s,13.6 Gb/s,762 kb/s,7.41 Gb/s
2025-05-02 18:51:00,11.3 Gb/s,13.6 Gb/s,790 kb/s,7.26 Gb/s
2025-05-02 18:51:30,8.70 Gb/s,13.3 Gb/s,767 kb/s,7.23 Gb/s
2025-05-02 18:52:00,6.32 Gb/s,12.9 Gb/s,773 kb/s,7.70 Gb/s
2025-05-02 18:52:30,5.82 Gb/s,12.1 Gb/s,763 kb/s,7.70 Gb/s
2025-05-02 18:53:00,6.18 Gb/s,12.4 Gb/s,779 kb/s,8.18 Gb/s
2025-05-02 18:53:30,6.88 Gb/s,11.9 Gb/s,793 kb/s,8.30 Gb/s
2025-05-02 18:54:00,8.17 Gb/s,11.4 Gb/s,782 kb/s,8.40 Gb/s
2025-05-02 18:54:30,8.78 Gb/s,10.5 Gb/s,783 kb/s,8.49 Gb/s
2025-05-02 18:55:00,9.83 Gb/s,9.74 Gb/s,799 kb/s,7.85 Gb/s
2025-05-02 18:55:30,10.6 Gb/s,9.14 Gb/s,831 kb/s,6.48 Gb/s
2025-05-02 18:56:00,11.9 Gb/s,9.46 Gb/s,847 kb/s,5.33 Gb/s
2025-05-02 18:56:30,13.8 Gb/s,9.97 Gb/s,823 kb/s,4.82 Gb/s
2025-05-02 18:57:00,14.7 Gb/s,10.0 Gb/s,838 kb/s,4.12 Gb/s
2025-05-02 18:57:30,15.8 Gb/s,9.75 Gb/s,827 kb/s,4.38 Gb/s
2025-05-02 18:58:00,15.9 Gb/s,9.66 Gb/s,846 kb/s,4.30 Gb/s
2025-05-02 18:58:30,15.1 Gb/s,9.64 Gb/s,814 kb/s,4.44 Gb/s
2025-05-02 18:59:00,14.3 Gb/s,10.0 Gb/s,915 kb/s,5.07 Gb/s
2025-05-02 18:59:30,13.6 Gb/s,10.4 Gb/s,969 kb/s,6.09 Gb/s
2025-05-02 19:00:00,13.6 Gb/s,10.4 Gb/s,1.08 Mb/s,6.23 Gb/s
2025-05-02 19:00:30,13.7 Gb/s,10.9 Gb/s,1.14 Mb/s,6.88 Gb/s
2025-05-02 19:01:00,13.7 Gb/s,11.1 Gb/s,1.14 Mb/s,7.68 Gb/s
2025-05-02 19:01:30,13.4 Gb/s,11.9 Gb/s,1.04 Mb/s,7.79 Gb/s
2025-05-02 19:02:00,12.9 Gb/s,12.9 Gb/s,927 kb/s,8.24 Gb/s
2025-05-02 19:02:30,13.8 Gb/s,13.3 Gb/s,870 kb/s,8.02 Gb/s
2025-05-02 19:03:00,13.2 Gb/s,13.7 Gb/s,824 kb/s,7.77 Gb/s
2025-05-02 19:03:30,14.6 Gb/s,14.1 Gb/s,850 kb/s,7.58 Gb/s
2025-05-02 19:04:00,15.7 Gb/s,13.4 Gb/s,826 kb/s,8.02 Gb/s
2025-05-02 19:04:30,15.4 Gb/s,13.2 Gb/s,826 kb/s,8.27 Gb/s
2025-05-02 19:05:00,15.1 Gb/s,13.5 Gb/s,810 kb/s,8.37 Gb/s
2025-05-02 19:05:30,14.0 Gb/s,13.1 Gb/s,850 kb/s,8.14 Gb/s
2025-05-02 19:06:00,13.2 Gb/s,13.1 Gb/s,822 kb/s,8.07 Gb/s
2025-05-02 19:06:30,13.6 Gb/s,12.9 Gb/s,836 kb/s,8.07 Gb/s
2025-05-02 19:07:00,13.7 Gb/s,12.1 Gb/s,839 kb/s,8.06 Gb/s
2025-05-02 19:07:30,12.9 Gb/s,12.6 Gb/s,853 kb/s,8.30 Gb/s
2025-05-02 19:08:00,12.2 Gb/s,12.1 Gb/s,858 kb/s,7.97 Gb/s
2025-05-02 19:08:30,11.8 Gb/s,11.6 Gb/s,858 kb/s,7.90 Gb/s
2025-05-02 19:09:00,12.8 Gb/s,11.3 Gb/s,849 kb/s,8.20 Gb/s
