"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 21:32:00,709 kb/s,6.72 Gb/s,6.42 Gb/s,643 kb/s,1.07 Mb/s,788 kb/s
2025-05-07 21:32:30,216 Mb/s,8.30 Gb/s,6.95 Gb/s,672 kb/s,1.16 Mb/s,838 kb/s
2025-05-07 21:33:00,1.70 Gb/s,8.83 Gb/s,6.53 Gb/s,501 kb/s,1.04 Mb/s,680 kb/s
2025-05-07 21:33:30,3.12 Gb/s,8.70 Gb/s,7.84 Gb/s,323 kb/s,889 kb/s,513 kb/s
2025-05-07 21:34:00,4.68 Gb/s,8.28 Gb/s,9.31 Gb/s,114 kb/s,676 kb/s,305 kb/s
2025-05-07 21:34:30,5.87 Gb/s,9.00 Gb/s,10.8 Gb/s,4.95 kb/s,580 kb/s,202 kb/s
2025-05-07 21:35:00,4.73 Gb/s,10.6 Gb/s,10.4 Gb/s,4.95 kb/s,582 kb/s,204 kb/s
2025-05-07 21:35:30,3.72 Gb/s,11.8 Gb/s,9.03 Gb/s,4.99 kb/s,586 kb/s,204 kb/s
2025-05-07 21:36:00,3.13 Gb/s,11.8 Gb/s,7.14 Gb/s,4.95 kb/s,584 kb/s,203 kb/s
2025-05-07 21:36:30,2.67 Gb/s,12.0 Gb/s,6.27 Gb/s,4.96 kb/s,583 kb/s,204 kb/s
2025-05-07 21:37:00,2.85 Gb/s,12.2 Gb/s,6.22 Gb/s,4.99 kb/s,581 kb/s,159 kb/s
2025-05-07 21:37:30,3.03 Gb/s,12.3 Gb/s,6.75 Gb/s,4.95 kb/s,572 kb/s,106 kb/s
2025-05-07 21:38:00,3.44 Gb/s,12.1 Gb/s,7.96 Gb/s,4.95 kb/s,568 kb/s,52.9 kb/s
2025-05-07 21:38:30,3.50 Gb/s,11.2 Gb/s,8.86 Gb/s,5.00 kb/s,569 kb/s,9.20 kb/s
2025-05-07 21:39:00,3.71 Gb/s,10.1 Gb/s,9.53 Gb/s,4.95 kb/s,569 kb/s,18.0 kb/s
2025-05-07 21:39:30,3.60 Gb/s,10.3 Gb/s,9.68 Gb/s,4.95 kb/s,573 kb/s,18.0 kb/s
2025-05-07 21:40:00,4.22 Gb/s,9.40 Gb/s,8.02 Gb/s,4.98 kb/s,576 kb/s,17.8 kb/s
2025-05-07 21:40:30,3.75 Gb/s,7.31 Gb/s,6.89 Gb/s,4.94 kb/s,578 kb/s,17.8 kb/s
2025-05-07 21:41:00,2.79 Gb/s,5.05 Gb/s,6.51 Gb/s,4.96 kb/s,581 kb/s,9.15 kb/s
2025-05-07 21:41:30,1.87 Gb/s,3.69 Gb/s,5.17 Gb/s,4.99 kb/s,584 kb/s,9.15 kb/s
2025-05-07 21:42:00,523 Mb/s,3.94 Gb/s,5.09 Gb/s,4.97 kb/s,584 kb/s,9.21 kb/s
2025-05-07 21:42:30,274 Mb/s,4.19 Gb/s,4.08 Gb/s,4.96 kb/s,582 kb/s,9.21 kb/s
2025-05-07 21:43:00,290 Mb/s,4.47 Gb/s,2.97 Gb/s,4.99 kb/s,578 kb/s,8.87 kb/s
2025-05-07 21:43:30,363 Mb/s,4.27 Gb/s,4.20 Gb/s,4.95 kb/s,578 kb/s,8.83 kb/s
2025-05-07 21:44:00,821 Mb/s,3.70 Gb/s,6.28 Gb/s,4.96 kb/s,579 kb/s,9.17 kb/s
2025-05-07 21:44:30,1.05 Gb/s,4.44 Gb/s,7.56 Gb/s,4.99 kb/s,583 kb/s,9.21 kb/s
2025-05-07 21:45:00,1.33 Gb/s,5.62 Gb/s,8.63 Gb/s,4.96 kb/s,585 kb/s,9.11 kb/s
2025-05-07 21:45:30,2.30 Gb/s,5.92 Gb/s,7.99 Gb/s,4.97 kb/s,589 kb/s,38.5 kb/s
2025-05-07 21:46:00,2.85 Gb/s,6.38 Gb/s,7.33 Gb/s,5.00 kb/s,591 kb/s,38.1 kb/s
2025-05-07 21:46:30,3.79 Gb/s,5.53 Gb/s,7.23 Gb/s,4.97 kb/s,586 kb/s,38.2 kb/s
2025-05-07 21:47:00,4.20 Gb/s,5.87 Gb/s,7.95 Gb/s,4.97 kb/s,583 kb/s,18.9 kb/s
2025-05-07 21:47:30,4.55 Gb/s,6.67 Gb/s,8.92 Gb/s,4.99 kb/s,579 kb/s,9.26 kb/s
2025-05-07 21:48:00,4.58 Gb/s,8.11 Gb/s,10.4 Gb/s,4.95 kb/s,577 kb/s,9.06 kb/s
2025-05-07 21:48:30,5.28 Gb/s,8.84 Gb/s,10.5 Gb/s,4.96 kb/s,583 kb/s,28.8 kb/s
2025-05-07 21:49:00,5.76 Gb/s,9.48 Gb/s,9.94 Gb/s,5.00 kb/s,593 kb/s,87.3 kb/s
2025-05-07 21:49:30,5.22 Gb/s,9.84 Gb/s,9.85 Gb/s,4.97 kb/s,600 kb/s,146 kb/s
2025-05-07 21:50:00,4.00 Gb/s,10.0 Gb/s,10.4 Gb/s,4.97 kb/s,605 kb/s,205 kb/s
2025-05-07 21:50:30,2.99 Gb/s,10.8 Gb/s,10.4 Gb/s,5.01 kb/s,607 kb/s,224 kb/s
2025-05-07 21:51:00,2.83 Gb/s,11.3 Gb/s,10.6 Gb/s,4.98 kb/s,605 kb/s,224 kb/s
2025-05-07 21:51:30,2.76 Gb/s,11.7 Gb/s,9.51 Gb/s,4.98 kb/s,605 kb/s,225 kb/s
2025-05-07 21:52:00,2.39 Gb/s,11.5 Gb/s,8.90 Gb/s,5.01 kb/s,606 kb/s,225 kb/s
2025-05-07 21:52:30,1.57 Gb/s,11.1 Gb/s,8.72 Gb/s,4.97 kb/s,606 kb/s,226 kb/s
2025-05-07 21:53:00,434 Mb/s,9.88 Gb/s,7.28 Gb/s,4.97 kb/s,608 kb/s,228 kb/s
2025-05-07 21:53:30,200 Mb/s,9.45 Gb/s,5.99 Gb/s,5.00 kb/s,609 kb/s,220 kb/s
2025-05-07 21:54:00,277 Mb/s,8.94 Gb/s,4.86 Gb/s,4.96 kb/s,601 kb/s,171 kb/s
2025-05-07 21:54:30,1.13 Gb/s,7.88 Gb/s,4.31 Gb/s,4.95 kb/s,602 kb/s,173 kb/s
2025-05-07 21:55:00,2.72 Gb/s,7.53 Gb/s,4.98 Gb/s,5.00 kb/s,603 kb/s,174 kb/s
2025-05-07 21:55:30,4.55 Gb/s,8.34 Gb/s,5.55 Gb/s,4.97 kb/s,603 kb/s,205 kb/s
2025-05-07 21:56:00,6.01 Gb/s,8.44 Gb/s,6.96 Gb/s,4.97 kb/s,609 kb/s,237 kb/s
2025-05-07 21:56:30,6.54 Gb/s,7.69 Gb/s,7.39 Gb/s,5.00 kb/s,609 kb/s,238 kb/s
2025-05-07 21:57:00,5.60 Gb/s,7.00 Gb/s,8.50 Gb/s,4.96 kb/s,607 kb/s,239 kb/s
2025-05-07 21:57:30,4.22 Gb/s,5.71 Gb/s,9.02 Gb/s,4.96 kb/s,606 kb/s,240 kb/s
2025-05-07 21:58:00,3.57 Gb/s,5.34 Gb/s,8.35 Gb/s,4.99 kb/s,608 kb/s,241 kb/s
2025-05-07 21:58:30,3.57 Gb/s,5.40 Gb/s,7.73 Gb/s,4.96 kb/s,607 kb/s,243 kb/s
2025-05-07 21:59:00,4.12 Gb/s,5.31 Gb/s,7.46 Gb/s,4.97 kb/s,606 kb/s,245 kb/s
2025-05-07 21:59:30,4.15 Gb/s,5.71 Gb/s,7.51 Gb/s,5.00 kb/s,610 kb/s,245 kb/s
2025-05-07 22:00:00,3.52 Gb/s,6.55 Gb/s,8.33 Gb/s,4.96 kb/s,606 kb/s,245 kb/s
2025-05-07 22:00:30,2.24 Gb/s,7.11 Gb/s,7.70 Gb/s,4.96 kb/s,605 kb/s,245 kb/s
2025-05-07 22:01:00,1.96 Gb/s,7.34 Gb/s,7.62 Gb/s,4.99 kb/s,607 kb/s,245 kb/s
2025-05-07 22:01:30,2.19 Gb/s,7.72 Gb/s,7.44 Gb/s,4.97 kb/s,606 kb/s,245 kb/s
