"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 18:42:30,186 Mb/s,326 Mb/s,903 kb/s,217 Mb/s
2025-05-02 18:43:00,150 Mb/s,361 Mb/s,920 kb/s,278 Mb/s
2025-05-02 18:43:30,140 Mb/s,416 Mb/s,889 kb/s,353 Mb/s
2025-05-02 18:44:00,174 Mb/s,380 Mb/s,894 kb/s,278 Mb/s
2025-05-02 18:44:30,140 Mb/s,368 Mb/s,917 kb/s,278 Mb/s
2025-05-02 18:45:00,160 Mb/s,393 Mb/s,983 kb/s,275 Mb/s
2025-05-02 18:45:30,141 Mb/s,392 Mb/s,1.02 Mb/s,278 Mb/s
2025-05-02 18:46:00,140 Mb/s,379 Mb/s,1.05 Mb/s,354 Mb/s
2025-05-02 18:46:30,154 Mb/s,421 Mb/s,973 kb/s,278 Mb/s
2025-05-02 18:47:00,140 Mb/s,396 Mb/s,973 kb/s,338 Mb/s
2025-05-02 18:47:30,178 Mb/s,415 Mb/s,864 kb/s,280 Mb/s
2025-05-02 18:48:00,140 Mb/s,392 Mb/s,863 kb/s,278 Mb/s
2025-05-02 18:48:30,140 Mb/s,436 Mb/s,858 kb/s,284 Mb/s
2025-05-02 18:49:00,161 Mb/s,411 Mb/s,865 kb/s,278 Mb/s
2025-05-02 18:49:30,140 Mb/s,402 Mb/s,854 kb/s,296 Mb/s
2025-05-02 18:50:00,189 Mb/s,499 Mb/s,856 kb/s,278 Mb/s
2025-05-02 18:50:30,144 Mb/s,421 Mb/s,857 kb/s,319 Mb/s
2025-05-02 18:51:00,141 Mb/s,426 Mb/s,888 kb/s,314 Mb/s
2025-05-02 18:51:30,171 Mb/s,419 Mb/s,865 kb/s,278 Mb/s
2025-05-02 18:52:00,141 Mb/s,394 Mb/s,873 kb/s,385 Mb/s
2025-05-02 18:52:30,181 Mb/s,480 Mb/s,861 kb/s,278 Mb/s
2025-05-02 18:53:00,144 Mb/s,433 Mb/s,877 kb/s,292 Mb/s
2025-05-02 18:53:30,141 Mb/s,426 Mb/s,892 kb/s,341 Mb/s
2025-05-02 18:54:00,171 Mb/s,433 Mb/s,879 kb/s,278 Mb/s
2025-05-02 18:54:30,141 Mb/s,381 Mb/s,881 kb/s,355 Mb/s
2025-05-02 18:55:00,178 Mb/s,455 Mb/s,899 kb/s,278 Mb/s
2025-05-02 18:55:30,151 Mb/s,400 Mb/s,934 kb/s,278 Mb/s
2025-05-02 18:56:00,141 Mb/s,404 Mb/s,951 kb/s,286 Mb/s
2025-05-02 18:56:30,182 Mb/s,444 Mb/s,924 kb/s,278 Mb/s
2025-05-02 18:57:00,141 Mb/s,383 Mb/s,940 kb/s,375 Mb/s
2025-05-02 18:57:30,172 Mb/s,452 Mb/s,929 kb/s,278 Mb/s
2025-05-02 18:58:00,161 Mb/s,372 Mb/s,948 kb/s,268 Mb/s
2025-05-02 18:58:30,141 Mb/s,369 Mb/s,914 kb/s,278 Mb/s
2025-05-02 18:59:00,191 Mb/s,406 Mb/s,1.02 Mb/s,278 Mb/s
2025-05-02 18:59:30,140 Mb/s,396 Mb/s,1.08 Mb/s,278 Mb/s
2025-05-02 19:00:00,140 Mb/s,423 Mb/s,1.19 Mb/s,278 Mb/s
2025-05-02 19:00:30,159 Mb/s,386 Mb/s,1.26 Mb/s,278 Mb/s
2025-05-02 19:01:00,140 Mb/s,381 Mb/s,1.26 Mb/s,278 Mb/s
2025-05-02 19:01:30,188 Mb/s,395 Mb/s,1.16 Mb/s,274 Mb/s
2025-05-02 19:02:00,140 Mb/s,444 Mb/s,1.03 Mb/s,278 Mb/s
2025-05-02 19:02:30,141 Mb/s,463 Mb/s,971 kb/s,330 Mb/s
2025-05-02 19:03:00,163 Mb/s,407 Mb/s,921 kb/s,278 Mb/s
2025-05-02 19:03:30,140 Mb/s,361 Mb/s,950 kb/s,278 Mb/s
2025-05-02 19:04:00,123 Mb/s,319 Mb/s,924 kb/s,367 Mb/s
2025-05-02 19:04:30,105 Mb/s,336 Mb/s,925 kb/s,278 Mb/s
2025-05-02 19:05:00,70.7 Mb/s,385 Mb/s,908 kb/s,323 Mb/s
2025-05-02 19:05:30,89.3 Mb/s,395 Mb/s,950 kb/s,296 Mb/s
2025-05-02 19:06:00,79.1 Mb/s,450 Mb/s,921 kb/s,278 Mb/s
2025-05-02 19:06:30,106 Mb/s,412 Mb/s,935 kb/s,282 Mb/s
2025-05-02 19:07:00,118 Mb/s,424 Mb/s,939 kb/s,278 Mb/s
2025-05-02 19:07:30,106 Mb/s,418 Mb/s,954 kb/s,225 Mb/s
2025-05-02 19:08:00,128 Mb/s,447 Mb/s,960 kb/s,278 Mb/s
2025-05-02 19:08:30,127 Mb/s,400 Mb/s,960 kb/s,314 Mb/s
2025-05-02 19:09:00,106 Mb/s,406 Mb/s,951 kb/s,278 Mb/s
2025-05-02 19:09:30,133 Mb/s,420 Mb/s,954 kb/s,278 Mb/s
2025-05-02 19:10:00,116 Mb/s,396 Mb/s,937 kb/s,278 Mb/s
2025-05-02 19:10:30,73.2 Mb/s,448 Mb/s,960 kb/s,278 Mb/s
2025-05-02 19:11:00,106 Mb/s,416 Mb/s,976 kb/s,289 Mb/s
2025-05-02 19:11:30,106 Mb/s,465 Mb/s,949 kb/s,278 Mb/s
