"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 21:32:00,744 kb/s,256 Mb/s,235 Mb/s,679 kb/s,696 kb/s,836 kb/s
2025-05-07 21:32:30,130 Mb/s,384 Mb/s,245 Mb/s,708 kb/s,755 kb/s,887 kb/s
2025-05-07 21:33:00,384 Mb/s,384 Mb/s,138 Mb/s,536 kb/s,589 kb/s,729 kb/s
2025-05-07 21:33:30,406 Mb/s,489 Mb/s,140 Mb/s,358 kb/s,413 kb/s,563 kb/s
2025-05-07 21:34:00,545 Mb/s,593 Mb/s,109 Mb/s,148 kb/s,177 kb/s,356 kb/s
2025-05-07 21:34:30,593 Mb/s,484 Mb/s,105 Mb/s,39.3 kb/s,67.2 kb/s,252 kb/s
2025-05-07 21:35:00,440 Mb/s,600 Mb/s,105 Mb/s,39.2 kb/s,67.3 kb/s,254 kb/s
2025-05-07 21:35:30,556 Mb/s,600 Mb/s,105 Mb/s,39.1 kb/s,68.1 kb/s,254 kb/s
2025-05-07 21:36:00,532 Mb/s,771 Mb/s,174 Mb/s,39.1 kb/s,66.5 kb/s,253 kb/s
2025-05-07 21:36:30,591 Mb/s,974 Mb/s,301 Mb/s,39.0 kb/s,67.2 kb/s,254 kb/s
2025-05-07 21:37:00,726 Mb/s,1.20 Gb/s,472 Mb/s,39.3 kb/s,63.9 kb/s,205 kb/s
2025-05-07 21:37:30,834 Mb/s,1.37 Gb/s,605 Mb/s,39.2 kb/s,57.1 kb/s,149 kb/s
2025-05-07 21:38:00,695 Mb/s,1.15 Gb/s,452 Mb/s,38.9 kb/s,52.7 kb/s,91.5 kb/s
2025-05-07 21:38:30,696 Mb/s,1.08 Gb/s,347 Mb/s,39.6 kb/s,51.3 kb/s,44.9 kb/s
2025-05-07 21:39:00,716 Mb/s,690 Mb/s,174 Mb/s,39.9 kb/s,51.8 kb/s,54.8 kb/s
2025-05-07 21:39:30,592 Mb/s,662 Mb/s,105 Mb/s,40.6 kb/s,53.5 kb/s,55.5 kb/s
2025-05-07 21:40:00,544 Mb/s,487 Mb/s,106 Mb/s,42.2 kb/s,58.1 kb/s,56.8 kb/s
