"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 18:42:30,13.6 Gb/s,14.2 Gb/s,372 kb/s,1.59 Gb/s
2025-05-02 18:43:00,13.8 Gb/s,14.8 Gb/s,398 kb/s,3.43 Gb/s
2025-05-02 18:43:30,13.7 Gb/s,14.2 Gb/s,311 kb/s,5.17 Gb/s
2025-05-02 18:44:00,12.5 Gb/s,14.4 Gb/s,324 kb/s,7.03 Gb/s
2025-05-02 18:44:30,12.5 Gb/s,14.1 Gb/s,266 kb/s,8.09 Gb/s
2025-05-02 18:45:00,12.7 Gb/s,14.4 Gb/s,307 kb/s,8.47 Gb/s
2025-05-02 18:45:30,13.1 Gb/s,14.1 Gb/s,274 kb/s,8.91 Gb/s
2025-05-02 18:46:00,13.3 Gb/s,13.8 Gb/s,318 kb/s,8.59 Gb/s
2025-05-02 18:46:30,12.8 Gb/s,13.6 Gb/s,267 kb/s,8.58 Gb/s
2025-05-02 18:47:00,13.3 Gb/s,13.0 Gb/s,305 kb/s,8.01 Gb/s
2025-05-02 18:47:30,13.3 Gb/s,12.5 Gb/s,249 kb/s,7.69 Gb/s
2025-05-02 18:48:00,13.5 Gb/s,12.1 Gb/s,286 kb/s,7.88 Gb/s
2025-05-02 18:48:30,14.3 Gb/s,12.0 Gb/s,253 kb/s,8.35 Gb/s
2025-05-02 18:49:00,14.0 Gb/s,13.0 Gb/s,287 kb/s,8.50 Gb/s
2025-05-02 18:49:30,13.8 Gb/s,13.2 Gb/s,251 kb/s,8.69 Gb/s
2025-05-02 18:50:00,13.9 Gb/s,13.5 Gb/s,287 kb/s,8.05 Gb/s
2025-05-02 18:50:30,12.7 Gb/s,13.6 Gb/s,250 kb/s,7.38 Gb/s
2025-05-02 18:51:00,11.4 Gb/s,13.6 Gb/s,290 kb/s,7.21 Gb/s
2025-05-02 18:51:30,8.67 Gb/s,13.3 Gb/s,251 kb/s,7.23 Gb/s
2025-05-02 18:52:00,6.32 Gb/s,13.0 Gb/s,288 kb/s,7.58 Gb/s
