"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 21:32:00,689 kb/s,6.68 Gb/s,6.46 Gb/s,637 kb/s,1.80 Mb/s,743 kb/s
2025-05-07 21:32:30,951 kb/s,8.26 Gb/s,6.94 Gb/s,672 kb/s,1.92 Mb/s,782 kb/s
2025-05-07 21:33:00,1.56 Gb/s,8.92 Gb/s,6.53 Gb/s,504 kb/s,1.85 Mb/s,615 kb/s
2025-05-07 21:33:30,3.07 Gb/s,8.82 Gb/s,7.80 Gb/s,330 kb/s,1.70 Mb/s,442 kb/s
2025-05-07 21:34:00,4.54 Gb/s,8.34 Gb/s,9.30 Gb/s,121 kb/s,1.50 Mb/s,227 kb/s
2025-05-07 21:34:30,5.74 Gb/s,9.12 Gb/s,10.8 Gb/s,10.6 kb/s,1.39 Mb/s,119 kb/s
2025-05-07 21:35:00,4.74 Gb/s,10.6 Gb/s,10.4 Gb/s,11.3 kb/s,1.38 Mb/s,122 kb/s
2025-05-07 21:35:30,3.65 Gb/s,11.8 Gb/s,9.04 Gb/s,11.9 kb/s,1.38 Mb/s,122 kb/s
2025-05-07 21:36:00,3.09 Gb/s,11.8 Gb/s,7.16 Gb/s,10.5 kb/s,1.38 Mb/s,122 kb/s
2025-05-07 21:36:30,2.73 Gb/s,12.1 Gb/s,6.32 Gb/s,11.1 kb/s,1.38 Mb/s,122 kb/s
2025-05-07 21:37:00,2.81 Gb/s,12.2 Gb/s,6.20 Gb/s,11.8 kb/s,1.38 Mb/s,109 kb/s
2025-05-07 21:37:30,3.00 Gb/s,12.3 Gb/s,6.77 Gb/s,10.3 kb/s,1.37 Mb/s,97.2 kb/s
2025-05-07 21:38:00,3.43 Gb/s,12.1 Gb/s,8.02 Gb/s,10.9 kb/s,1.37 Mb/s,87.9 kb/s
2025-05-07 21:38:30,3.58 Gb/s,11.3 Gb/s,8.86 Gb/s,11.4 kb/s,1.37 Mb/s,78.1 kb/s
2025-05-07 21:39:00,3.59 Gb/s,10.2 Gb/s,9.60 Gb/s,9.77 kb/s,1.38 Mb/s,80.2 kb/s
2025-05-07 21:39:30,3.57 Gb/s,10.3 Gb/s,9.68 Gb/s,10.4 kb/s,1.40 Mb/s,80.2 kb/s
2025-05-07 21:40:00,4.14 Gb/s,9.48 Gb/s,8.03 Gb/s,10.9 kb/s,1.45 Mb/s,77.5 kb/s
2025-05-07 21:40:30,3.72 Gb/s,7.36 Gb/s,6.93 Gb/s,9.37 kb/s,1.52 Mb/s,77.6 kb/s
2025-05-07 21:41:00,2.77 Gb/s,5.12 Gb/s,6.48 Gb/s,10.1 kb/s,1.57 Mb/s,78.2 kb/s
2025-05-07 21:41:30,1.80 Gb/s,3.74 Gb/s,5.14 Gb/s,10.8 kb/s,1.58 Mb/s,78.2 kb/s
2025-05-07 21:42:00,442 Mb/s,4.00 Gb/s,5.09 Gb/s,9.36 kb/s,1.57 Mb/s,78.2 kb/s
2025-05-07 21:42:30,225 Mb/s,4.27 Gb/s,4.08 Gb/s,10.2 kb/s,1.54 Mb/s,78.2 kb/s
2025-05-07 21:43:00,318 Mb/s,4.53 Gb/s,2.94 Gb/s,10.8 kb/s,1.50 Mb/s,75.5 kb/s
2025-05-07 21:43:30,290 Mb/s,4.21 Gb/s,4.17 Gb/s,9.28 kb/s,1.49 Mb/s,75.4 kb/s
2025-05-07 21:44:00,726 Mb/s,3.77 Gb/s,6.25 Gb/s,10.3 kb/s,1.47 Mb/s,78.2 kb/s
2025-05-07 21:44:30,1.13 Gb/s,4.53 Gb/s,7.56 Gb/s,11.2 kb/s,1.45 Mb/s,78.2 kb/s
2025-05-07 21:45:00,1.38 Gb/s,5.56 Gb/s,8.63 Gb/s,9.99 kb/s,1.42 Mb/s,78.1 kb/s
2025-05-07 21:45:30,2.26 Gb/s,5.89 Gb/s,7.99 Gb/s,11.5 kb/s,1.41 Mb/s,84.5 kb/s
2025-05-07 21:46:00,2.94 Gb/s,6.30 Gb/s,7.33 Gb/s,12.6 kb/s,1.41 Mb/s,81.7 kb/s
2025-05-07 21:46:30,3.80 Gb/s,5.46 Gb/s,7.26 Gb/s,11.0 kb/s,1.40 Mb/s,81.8 kb/s
2025-05-07 21:47:00,4.20 Gb/s,5.84 Gb/s,7.92 Gb/s,11.9 kb/s,1.39 Mb/s,80.2 kb/s
2025-05-07 21:47:30,4.55 Gb/s,6.70 Gb/s,8.94 Gb/s,12.4 kb/s,1.38 Mb/s,78.3 kb/s
2025-05-07 21:48:00,4.58 Gb/s,8.10 Gb/s,10.3 Gb/s,11.0 kb/s,1.38 Mb/s,78.1 kb/s
2025-05-07 21:48:30,5.22 Gb/s,8.95 Gb/s,10.4 Gb/s,12.0 kb/s,1.38 Mb/s,82.5 kb/s
